problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,100.00%,0.060,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.000,0,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.060,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.650,83.28125,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.170,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.330,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.410,2.93359375,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.380,75.0546875,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.070,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,8.22265625,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,TIME_LIMIT_EXCEEDED,83,69.17%,83.87%,2.410,25.2734375,,17,27,0,24,15,0
tura,RUNTIME_ERROR,0,0.00%,28.06%,0.060,2.5859375,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.090,1.59375,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,52.22%,74.42%,2.410,190.53125,,25,13,9,0,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.060,0.00390625,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,0,0.00%,0.00%,0.060,2.84375,,0,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.140,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.250,18.828125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,3.28%,0.070,3.9765625,,0,0,0,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.150,29.13671875,,13,18,34,15,40,0
TOTAL,,1410,,73.52%,,,64.00%,,,,,,
