problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,10.81%,0.390,7.49609375,,0,0,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,10,19.83%,1.840,373.2734375,,6,0,0,4,0,0,0,0,0,0
ones,WRONG_ANSWER,29,0.00%,0.150,1.953125,,2.5802799999999997,2.5615300000000003,2.6297900000000003,2.67411,2.72949,2.81882,2.93263,3.0942999999999996,3.40576,3.75162
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.240,85.53515625,,10,10,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,29,78.79%,0.460,32.23046875,,0,11,18,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,40,91.83%,0.380,2.2421875,,0,5,10,10,15,0,0,0,0,0
tolls,ACCEPTED,100,100.00%,0.220,12.03515625,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,50,42.35%,0.150,3.453125,,40,10,0,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,0.420,15.828125,,0,10,7,29,27,7,14,6,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,378,43.00%,,,18.18%,,,,,,,,,,
