Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,chatnoi,chatnoi_rel,icecreammachines,icecreammachines_rel,islandalliances,islandalliances_rel
gpt-5,300.00,100.00%,100.00%,100.00%,0.390,46.21,3,100.00,100.00%,100.00,100.00%,100.00,100.00%
deepseek-reasoner,300.00,100.00%,100.00%,100.00%,0.420,50.36,3,100.00,100.00%,100.00,100.00%,100.00,100.00%
OlympicCoder-7B,300.00,100.00%,100.00%,100.00%,0.433,79.48,3,100.00,100.00%,100.00,100.00%,100.00,100.00%
gpt-oss-20b-high,300.00,100.00%,100.00%,100.00%,1.233,43.03,3,100.00,100.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-medium,271.00,90.33%,95.62%,66.67%,1.767,60.86,3,71.00,71.00%,100.00,100.00%,100.00,100.00%
grok-4-fast-reasoning,264.00,88.00%,93.68%,66.67%,1.650,83.14,3,64.00,64.00%,100.00,100.00%,100.00,100.00%
gpt-o3-mini-high,264.00,88.00%,93.90%,66.67%,1.777,89.76,3,64.00,64.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp1,247.00,82.33%,94.01%,66.67%,1.767,193.52,3,47.00,47.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-high,246.00,82.00%,90.14%,66.67%,0.373,97.73,3,46.00,46.00%,100.00,100.00%,100.00,100.00%
gemini-2.5-pro,241.00,80.33%,85.99%,66.67%,0.610,64.62,3,41.00,41.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp4,240.00,80.00%,92.27%,66.67%,1.747,52.27,3,40.00,40.00%,100.00,100.00%,100.00,100.00%
seed-oss_16384,229.00,,89.73%,66.67%,0.210,30.12,3,29.00,,100.00,,100.00,
Qwen3-32B,229.00,76.33%,91.17%,66.67%,0.423,68.86,3,29.00,29.00%,100.00,100.00%,100.00,100.00%
gpt-4.1,229.00,76.33%,91.17%,66.67%,0.593,135.83,3,29.00,29.00%,100.00,100.00%,100.00,100.00%
gemini-2.5-flash,222.00,74.00%,88.58%,66.67%,1.760,42.66,3,22.00,22.00%,100.00,100.00%,100.00,100.00%
gpt-oss-20b-medium,222.00,74.00%,87.94%,66.67%,1.767,236.68,3,22.00,22.00%,100.00,100.00%,100.00,100.00%
claude-sonnet-4.5,222.00,74.00%,89.35%,66.67%,1.803,162.65,3,22.00,22.00%,100.00,100.00%,100.00,100.00%
Qwen3-14B,217.00,72.33%,80.69%,66.67%,0.613,193.39,3,17.00,17.00%,100.00,100.00%,100.00,100.00%
seed-oss_-1,217.00,72.33%,83.78%,66.67%,1.787,144.16,3,17.00,17.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp2,212.00,70.67%,86.44%,66.67%,0.173,51.95,3,12.00,12.00%,100.00,100.00%,100.00,100.00%
deepseek-chat,212.00,70.67%,86.44%,66.67%,0.503,112.03,3,12.00,12.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-low,212.00,70.67%,85.02%,66.67%,0.537,98.85,3,12.00,12.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp3,205.00,68.33%,83.40%,66.67%,1.650,34.62,3,5.00,5.00%,100.00,100.00%,100.00,100.00%
seed-oss_8192,200.00,,81.02%,66.67%,0.083,17.46,3,0.00,,100.00,,100.00,
gpt-oss-20b-low,200.00,66.67%,80.03%,66.67%,0.203,7.56,3,0.00,0.00%,100.00,100.00%,100.00,100.00%
Qwen3-30B,200.00,66.67%,80.78%,66.67%,0.237,13.20,3,0.00,0.00%,100.00,100.00%,100.00,100.00%
QwQ-32B,191.00,63.67%,86.15%,33.33%,0.880,77.18,3,12.00,12.00%,79.00,79.00%,100.00,100.00%
DeepSeek-R1-Distill-Llama-70B,179.00,59.67%,72.93%,33.33%,0.543,12.34,3,0.00,0.00%,79.00,79.00%,100.00,100.00%
Qwen3-8B,179.00,59.67%,71.48%,33.33%,0.580,12.98,3,0.00,0.00%,79.00,79.00%,100.00,100.00%
DeepSeek-R1-Distill-Qwen-32B,143.00,47.67%,78.15%,0.00%,2.753,106.37,3,12.00,12.00%,79.00,79.00%,52.00,52.00%
OpenCodeReasoning-Nemotron-32B-IOI,112.00,56.00%,79.66%,50.00%,0.560,155.43,2,12.00,12.00%,100.00,100.00%,N/A,N/A
Llama-3.3-70B-Instruct,109.00,36.33%,74.28%,0.00%,2.713,59.94,3,5.00,5.00%,52.00,52.00%,52.00,52.00%
seed-oss_4096,107.00,,48.74%,33.33%,0.117,7.22,3,0.00,,7.00,,100.00,
seed-oss_2048,107.00,,49.20%,33.33%,0.370,26.49,3,0.00,,7.00,,100.00,
Qwen2.5-72B,107.00,35.67%,63.09%,33.33%,0.447,3.52,3,0.00,0.00%,7.00,7.00%,100.00,100.00%
Mistral-Small-3.1-24B-2503,107.00,35.67%,62.85%,33.33%,1.183,3.53,3,0.00,0.00%,7.00,7.00%,100.00,100.00%
