solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_0.cpp,RUNTIME_ERROR,0,0.00%,32.10%,0.160,0.00390625,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_1.cpp,ACCEPTED,100,100.00%,100.00%,0.310,43.03125,25,35,40
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_2.cpp,ACCEPTED,100,100.00%,100.00%,0.200,16.765625,25,35,40
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_3.cpp,ACCEPTED,100,100.00%,100.00%,0.220,31.9765625,25,35,40
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_4.cpp,ACCEPTED,100,100.00%,100.00%,0.240,24.7734375,25,35,40
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_5.cpp,ACCEPTED,100,100.00%,100.00%,0.200,16.765625,25,35,40
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0
2023-ho-t1_Stone_Arranging_2_gpt-oss-120b-medium_7.cpp,RUNTIME_ERROR,0,0.00%,34.94%,0.150,0.00390625,0,0,0
