problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,RUNTIME_ERROR,0,0.00%,0.050,5.16015625,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,0.080,5.9375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.060,2.07421875,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.00%,0.030,2.84375,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,12,25.00%,0.000,0,,0,12,0,0,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.020,1.5546875,,0,0,0,0,0
rolete,RUNTIME_ERROR,0,0.00%,0.040,6.828125,,0,0,0,0,0
trokut,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,RUNTIME_ERROR,0,0.00%,0.030,2.84765625,,0,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
putovanje,MEMORY_LIMIT_EXCEEDED,0,6.47%,0.040,4.1328125,,0,0,0,0,0
roboti,TIME_LIMIT_EXCEEDED,0,2.27%,2.410,0.00390625,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.050,2.83984375,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,1.35%,0.030,3.10546875,,0,0,0,0,0
zatopljenje,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.130,0.00390625,,11,13,24,22,0
an2dl,RUNTIME_ERROR,12,20.83%,0.470,48.22265625,,12,0,0,0,0
kocke,RUNTIME_ERROR,0,3.33%,0.020,1.55859375,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,474,30.40%,,,28.00%,,,,,
