Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,ekspert,ekspert_rel,kruhologija,kruhologija_rel,lampice,lampice_rel,prijateljice,prijateljice_rel,tramvaji,tramvaji_rel
gpt-oss-20b-high,270.00,,60.00%,60.00%,0.082,2.58,5,0.00,,0.00,,110.00,,110.00,,50.00,
gpt-oss-20b-medium,270.00,,60.00%,60.00%,0.108,4.13,5,0.00,,0.00,,110.00,,110.00,,50.00,
gpt-5,270.00,,60.00%,60.00%,0.142,5.00,5,0.00,,0.00,,110.00,,110.00,,50.00,
gpt-o3-mini-high,172.00,,43.33%,40.00%,0.670,3.96,5,0.00,,0.00,,12.00,,110.00,,50.00,
gpt-4.1,172.00,,43.33%,40.00%,0.690,3.15,5,0.00,,0.00,,12.00,,110.00,,50.00,
gemini-2.5-pro,172.00,,43.33%,40.00%,0.696,6.66,5,0.00,,0.00,,12.00,,110.00,,50.00,
seed-oss_-1,172.00,,49.05%,40.00%,0.744,3.73,5,0.00,,0.00,,12.00,,110.00,,50.00,
Qwen3-4B,172.00,,43.33%,40.00%,0.750,10.09,5,0.00,,0.00,,12.00,,110.00,,50.00,
Llama-4-Scout,160.00,,40.00%,40.00%,0.014,1.54,5,0.00,,0.00,,0.00,,110.00,,50.00,
Qwen3-32B,160.00,,40.48%,40.00%,0.018,3.63,5,0.00,,0.00,,0.00,,110.00,,50.00,
seed-oss_4096,160.00,,45.48%,40.00%,0.020,1.50,5,0.00,,0.00,,0.00,,110.00,,50.00,
Qwen3-8B,160.00,,40.95%,40.00%,0.020,4.29,5,0.00,,0.00,,0.00,,110.00,,50.00,
Qwen2.5-Coder-32B-Instruct,160.00,,45.00%,40.00%,0.026,1.50,5,0.00,,0.00,,0.00,,110.00,,50.00,
deepseek-reasoner,160.00,,45.48%,40.00%,0.028,2.49,5,0.00,,0.00,,0.00,,110.00,,50.00,
gpt-oss-120b-high,160.00,,42.86%,40.00%,0.032,3.30,5,0.00,,0.00,,0.00,,110.00,,50.00,
deepseek-chat,160.00,,45.00%,40.00%,0.034,2.38,5,0.00,,0.00,,0.00,,110.00,,50.00,
Qwen3-14B,160.00,,40.95%,40.00%,0.036,1.61,5,0.00,,0.00,,0.00,,110.00,,50.00,
