problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,0.100,6.20703125,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.220,46.1484375,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.070,3.234375,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.090,1.5,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.340,2.84375,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.080,2.84765625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,1.92%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,68.35%,2.210,5.296875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,10,13.64%,2.210,23.44140625,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.090,6.9609375,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.060,2.06640625,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.090,35.5859375,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.990,86.6328125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.170,2.875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.090,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.000,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.330,7.9765625,,13,17,0,0,0
TOTAL,,1141,59.09%,,,52.00%,,,,,
