problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.090,3.62109375,,15,20,35,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.120,1.66015625,,0,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.110,2.5859375,,13,17,33,47,0
skrivaca,ACCEPTED,110,100.00%,0.310,45.0390625,,15,25,30,40,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,0.150,12.38671875,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,0.030,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,0.110,3.21875,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,0.060,2.07421875,,41,22,47,0,0
7krokods,ACCEPTED,50,100.00%,0.020,0,,17,26,7,0,0
zrinka,ACCEPTED,70,100.00%,0.140,1.55859375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,0.020,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,0.480,57.4921875,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,0.110,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,0.000,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,ACCEPTED,110,100.00%,0.390,5.421875,,26,12,35,37,0
prijateljice,ACCEPTED,110,100.00%,0.020,7.484375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,0.070,3.6171875,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,56.82%,0.170,19.22265625,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,0.350,41.9765625,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,0.140,8.9765625,,11,22,27,18,32
TOTAL,,1850,86.27%,,,84.00%,,,,,
