Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,2566.00,,84.25%,61.76%,0.921,53.36,34
gpt-oss-120b-high,2564.00,,81.84%,64.71%,0.703,67.56,34
gpt-oss-120b-medium,2081.00,61.21%,69.57%,50.00%,0.686,63.49,34
gemini-2.5-pro,2039.00,,72.54%,38.24%,1.266,107.72,34
gpt-oss-20b-high,1953.00,,72.45%,58.62%,0.502,43.65,29
gpt-o3-mini-high,1944.00,,67.56%,47.06%,0.939,48.19,34
gpt-oss-20b-medium,1926.00,,61.19%,47.06%,0.454,34.63,34
seed-oss_16384,1860.00,,63.09%,41.18%,0.655,70.84,34
seed-oss_-1,1793.00,,62.13%,38.24%,0.919,88.24,34
gemini-2.5-flash,1701.00,,64.04%,29.41%,1.403,103.14,34
gpt-oss-120b-low,1678.00,,57.61%,38.24%,0.636,43.02,34
Qwen3-32B,1488.00,,54.62%,20.59%,0.803,62.74,34
deepseek-reasoner,1459.00,,54.36%,23.53%,0.547,22.52,34
Qwen3-14B,1390.00,,52.69%,26.47%,0.878,26.33,34
gpt-oss-20b-low,1379.00,,48.85%,29.41%,0.371,30.67,34
Qwen3-30B,1309.00,,52.07%,23.53%,1.024,10.98,34
seed-oss_8192,1304.00,,47.96%,20.59%,0.859,70.19,34
QwQ-32B,1291.00,,47.97%,26.47%,0.443,25.15,34
Qwen3-8B,1274.00,,51.09%,23.53%,0.994,12.16,34
DeepSeek-R1-Distill-Llama-70B,1126.00,,47.95%,17.65%,0.972,20.01,34
Qwen3-4B,978.00,,43.91%,17.65%,0.945,7.70,34
gpt-4.1,967.00,,40.51%,11.76%,0.895,57.69,34
deepseek-chat,934.00,,42.09%,11.76%,0.801,37.61,34
DeepSeek-R1-Distill-Qwen-32B,897.00,,37.65%,11.76%,0.904,18.87,34
seed-oss_4096,876.00,,34.16%,15.15%,0.654,17.17,33
DeepSeek-R1-Distill-Qwen-14B,826.00,,30.35%,17.65%,0.662,7.20,34
Qwen2.5-Coder-14B-Instruct,814.00,,33.28%,14.71%,0.824,20.06,34
Llama-3.3-70B-Instruct,796.00,,34.97%,14.71%,1.116,10.48,34
Qwen2.5-Coder-32B-Instruct,743.00,,31.84%,8.82%,0.963,35.08,34
Qwen3-32B-Non-Thinking,700.00,,29.54%,11.76%,0.631,15.73,34
Mistral-Small-3.1-24B-2503,652.00,,27.62%,8.82%,0.615,21.88,34
Codestral-22B-v0.1,607.00,,21.91%,11.76%,0.546,2.05,34
Qwen2.5-72B,607.00,,25.55%,5.88%,0.615,26.52,34
Mistral-Large-Instruct-2411,596.00,,27.34%,8.82%,0.883,7.26,34
seed-oss_1024,589.00,,22.59%,11.76%,0.410,12.16,34
Qwen3-30B-Non-Thinking,580.00,,24.01%,8.82%,0.661,14.69,34
seed-oss_0,556.00,,23.53%,8.82%,0.414,21.97,34
Qwen3-14B-Non-Thinking,550.00,,25.24%,11.76%,0.860,15.06,34
Llama-4-Scout,501.00,,20.04%,8.82%,0.359,17.11,34
seed-oss_2048,496.00,,23.75%,5.88%,0.303,22.98,34
Qwen3-8B-Non-Thinking,438.00,,18.85%,5.88%,0.419,24.49,34
Qwen3-4B-Non-Thinking,432.00,,21.06%,5.88%,0.937,21.34,34
DeepSeek-Coder-V2-Lite-Instruct,405.00,,19.02%,2.94%,0.864,9.44,34
Llama-3.1-8B-Instruct,393.00,,13.94%,2.94%,0.121,20.96,34
Qwen2.5-Coder-7B-Instruct,299.00,,12.61%,5.88%,0.112,9.33,34
seed-oss_512,274.00,,15.10%,2.94%,0.341,9.12,34
DeepSeek-R1-Distill-Llama-8B,130.00,,4.44%,2.94%,0.065,0.08,34
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,4
