problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.880,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.060,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,54.29%,66.67%,1.210,2.5859375,,17,21,0,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.260,20.59765625,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.420,2.328125,,20,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,2.040,215.02734375,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,3.8984375,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.00%,0.160,16.125,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,1.55859375,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,10,20.00%,38.46%,0.060,0,,10,0,0,0,0,0
igre,RUNTIME_ERROR,29,41.43%,38.78%,0.070,0.00390625,,6,0,23,0,0,0
razlicitost,MEMORY_LIMIT_EXCEEDED,22,24.44%,37.21%,0.080,4.39453125,,0,13,9,0,0,0
blistavost,RUNTIME_ERROR,0,0.00%,9.84%,0.060,1.5546875,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.090,4.39453125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.130,11.3515625,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.480,57.5,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.060,0,,0,0,0,0,0,0
zbunjenost,MEMORY_LIMIT_EXCEEDED,0,0.00%,3.23%,0.270,587.19921875,,0,0,0,0,0,0
TOTAL,,792,,47.49%,,,36.00%,,,,,,
