problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,RUNTIME_ERROR,39,66.67%,0.050,0,,0,39,0,0,0
dirigent,TIME_LIMIT_EXCEEDED,35,60.71%,1.110,1.5546875,,15,20,0,0,0
baltazar,RUNTIME_ERROR,0,0.00%,0.040,8.13671875,,0,0,0,0,0
bomboni,MEMORY_LIMIT_EXCEEDED,30,40.00%,1.720,562.40625,,13,17,0,0,0
skrivaca,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,22.00%,2.290,2.07421875,,20,0,0,0,0
logaritam,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
slasticarnica,RUNTIME_ERROR,0,2.50%,0.060,0.00390625,,0,0,0,0,0
zastave,RUNTIME_ERROR,0,23.81%,0.060,2.07421875,,0,0,0,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,20.00%,0.000,0,,0,20,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsta,RUNTIME_ERROR,26,20.00%,0.110,4.47265625,,0,26,0,0,0
tramvaji,ACCEPTED,50,100.00%,0.060,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
lampice,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,60,42.67%,0.080,9.5390625,,0,0,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
berilij,RUNTIME_ERROR,0,2.27%,0.130,9.2890625,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
neboderi,RUNTIME_ERROR,0,0.00%,0.110,58.53125,,0,0,0,0,0
TOTAL,,380,24.03%,,,12.00%,,,,,
