problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,RUNTIME_ERROR,5,16.36%,0.360,306.3515625,,5,0,0,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,4.92%,0.130,2.25,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,9,0.00%,0.260,1.95703125,,1.3750299999999998,1.28998,1.1627999999999998,1.05952,0.9554,0.81851,0.71762,0.61903,0.49101,0.39582
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.230,33.78125,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,49.62%,0.120,0,,0,0,0,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,0,3.10%,0.390,4.79296875,,0,0,0,0,0,0,0,0,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
twins,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,34,9.40%,,,0.00%,,,,,,,,,,
