problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,10,12.73%,0.160,45.95703125,,0,10.0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,2.25%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,TIME_LIMIT_EXCEEDED,0,6.74%,2.250,2.83984375,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.370,0.00390625,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,14.29%,0.760,52.859375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,47.45%,4.430,12.51953125,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,11,4.67%,0.210,3.62109375,,0,0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,86,92.08%,0.110,1.5546875,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,17,50.34%,1.690,25.21484375,,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,52.78%,3.330,70.1328125,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,55,91.61%,2.430,6.375,,0.0,8.0,0,0,0,7.0,9.0,0,8.0,6.0,7.0,10.0,0
Stone_Enthusiast,RUNTIME_ERROR,0,1.71%,0.130,27.734375,,0,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,RUNTIME_ERROR,0,0.88%,0.150,34.0625,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,313,28.09%,,,5.88%,,,,,,,,,,,,,
