solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_1.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.290,159.5546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,4.810,197.9140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_4.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,4.440,130.1640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_5.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,4.810,130.46484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.150,5.41796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platinum_Package_Pickup_gpt-oss-20b-medium_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,10.00%,4.880,5.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
