solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
silver_Compatible_Pairs_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.150,43.77734375,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_2.cpp,RUNTIME_ERROR,33,10.00%,8.33%,0.420,67.42578125,0,33.33333333333333,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_3.cpp,MEMORY_LIMIT_EXCEEDED,67,20.30%,16.67%,0.180,32.73828125,0,33.33333333333333,0,33.33333333333333,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_4.cpp,ACCEPTED,333,100.91%,100.00%,1.100,65.83984375,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
silver_Compatible_Pairs_gpt-oss-120b_5.cpp,ACCEPTED,333,100.91%,100.00%,0.660,81.66015625,0,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333
silver_Compatible_Pairs_gpt-oss-120b_6.cpp,WRONG_ANSWER,0,0.00%,16.67%,0.100,28.10546875,0,0,0,0,0,0,0,0,0,0,0
silver_Compatible_Pairs_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.200,27.19921875,0,0,0,0,0,0,0,0,0,0,0
