competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,2023,2139,5555,875,4891,9142,1210,1381
APIO-2023,0,0,4,0,2,11,7,0
APIO-2024,0,0,2,0,14,5,0,3
BOI-2023,0,0,7,0,6,33,0,2
BOI-2024,0,0,12,0,4,30,0,2
BOI-2025,0,0,5,0,1,32,6,4
CCO-2023,27,0,30,2,15,53,0,1
CCO-2024,47,0,23,1,12,37,2,6
CEOI-2023,0,0,3,0,17,24,1,3
CEOI-2024,0,0,3,1,14,27,1,2
COCI-2023,23,0,22,8,22,103,6,16
COCI-2024,36,5,38,3,31,84,0,3
COCI-2025,26,0,22,16,26,89,14,7
EGOI-2023,1,0,4,1,4,38,13,3
EGOI-2024,0,0,6,0,8,40,7,3
EJOI-2023,0,0,19,4,12,8,4,1
EJOI-2024,2,0,11,0,18,16,0,1
IATI-2024,0,5,11,3,12,43,11,3
IOI-2023,0,0,6,1,14,26,0,1
IOI-2024,0,0,10,3,7,23,0,5
JOI-2023,7,0,20,0,54,72,0,7
JOI-2024,0,0,16,3,53,73,0,15
JOI-2025,7,0,9,1,5,11,0,7
NOINordic-2023,0,0,1,3,9,11,0,0
NOINordic-2024,0,0,4,1,3,8,1,7
NOINordic-2025,0,0,11,0,8,5,0,0
OOI-2023,18,0,30,5,0,45,32,6
OOI-2024,10,0,37,4,0,49,31,5
RMI-2023,0,0,8,2,12,20,2,4
RMI-2024,0,0,3,4,12,20,6,3
USACO-2023,0,0,0,0,0,0,0,0
USACO-2024,26,94,125,6,68,54,0,11
USACO-2025,19,86,75,14,31,46,0,17
