problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
five,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
game,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,7.38%,0.120,2.1328125,,0,0,0,0,0,0,0
ones,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.230,333.36328125,,10,10,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,0.00%,11.24%,0.090,0,,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,0,0.00%,3.10%,0.370,1.828125,,0,0,0,0,0,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
twins,RUNTIME_ERROR,0,0.00%,0.00%,0.090,1.796875,,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
TOTAL,,20,,4.65%,,,0.00%,,,,,,,
