Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bikeparking,bikeparking_rel,bouquet,bouquet_rel,circlepassing,circlepassing_rel,gardendecorations,gardendecorations_rel,infiniterace,infiniterace_rel,lightbulbs,lightbulbs_rel,makethemmeet,makethemmeet_rel,teamcoding,teamcoding_rel
gpt-5,600.00,,75.00%,75.00%,0.100,9.48,8,100.00,,100.00,,100.00,,0.00,,100.00,,0.00,,100.00,,100.00,
gpt-oss-120b-high,436.00,,59.69%,50.00%,0.055,9.16,8,25.00,,100.00,,100.00,,0.00,,100.00,,0.00,,11.00,,100.00,
gpt-oss-20b-medium,436.00,,63.85%,50.00%,0.641,7.32,8,25.00,,100.00,,100.00,,0.00,,100.00,,100.00,,11.00,,0.00,
gemini-2.5-pro,364.00,,55.27%,37.50%,0.223,16.80,8,25.00,,100.00,,100.00,,0.00,,29.00,,0.00,,10.00,,100.00,
gpt-oss-120b-medium,348.00,43.50%,53.10%,37.50%,0.043,6.43,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,11.00,11.00%,12.00,12.00%
gpt-o3-mini-high,336.00,,51.76%,37.50%,0.591,7.28,8,25.00,,100.00,,100.00,,0.00,,100.00,,0.00,,11.00,,0.00,
gpt-oss-20b-low,272.00,,43.14%,25.00%,0.314,3.06,8,16.00,,100.00,,56.00,,0.00,,0.00,,100.00,,0.00,,0.00,
seed-oss_16384,235.00,,42.23%,25.00%,0.640,8.56,8,25.00,,100.00,,100.00,,0.00,,0.00,,0.00,,10.00,,0.00,
seed-oss_-1,225.00,,41.40%,25.00%,0.629,7.73,8,25.00,,100.00,,100.00,,0.00,,0.00,,0.00,,0.00,,0.00,
gpt-oss-20b-high,200.00,,40.00%,40.00%,0.032,5.37,5,100.00,,100.00,,N/A,,0.00,,N/A,,0.00,,0.00,,N/A,
gemini-2.5-flash,191.00,,38.74%,12.50%,0.361,160.52,8,25.00,,100.00,,56.00,,0.00,,0.00,,0.00,,10.00,,0.00,
deepseek-reasoner,171.00,,36.01%,12.50%,0.053,6.53,8,25.00,,24.00,,100.00,,0.00,,0.00,,0.00,,10.00,,12.00,
seed-oss_8192,124.00,,27.42%,12.50%,0.617,4.27,8,0.00,,100.00,,14.00,,0.00,,0.00,,0.00,,10.00,,0.00,
Llama-3.1-8B-Instruct,100.00,,15.23%,12.50%,0.022,0.81,8,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-120b-low,95.00,,33.72%,0.00%,0.171,8.34,8,16.00,,24.00,,14.00,,0.00,,29.00,,0.00,,0.00,,12.00,
deepseek-chat,81.00,,29.72%,0.00%,0.359,137.96,8,25.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B,81.00,,32.41%,0.00%,0.601,6.29,8,25.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,72.00,,22.30%,0.00%,0.295,0.68,8,16.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B,57.00,,29.78%,0.00%,0.360,77.26,8,25.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,12.00,
seed-oss_4096,56.00,,15.50%,0.00%,0.320,1.13,8,0.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,56.00,,17.97%,0.00%,1.404,3.56,8,0.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,54.00,,25.35%,0.00%,0.624,141.28,8,16.00,,24.00,,14.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,52.00,,29.92%,0.00%,0.062,3.41,8,16.00,,0.00,,14.00,,0.00,,0.00,,0.00,,10.00,,12.00,
Qwen3-30B,51.00,,27.83%,0.00%,0.079,3.16,8,25.00,,0.00,,14.00,,0.00,,0.00,,0.00,,0.00,,12.00,
QwQ-32B,49.00,,24.00%,0.00%,0.694,71.56,8,0.00,,24.00,,14.00,,0.00,,0.00,,0.00,,11.00,,0.00,
gpt-4.1,39.00,,23.14%,0.00%,0.074,35.07,8,25.00,,0.00,,14.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,36.00,,20.68%,0.00%,0.436,141.88,8,16.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,36.00,,23.32%,0.00%,0.856,10.38,8,16.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B,32.00,,23.46%,0.00%,0.319,76.77,8,0.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,12.00,
Qwen3-4B,32.00,,23.67%,0.00%,0.325,78.13,8,0.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,12.00,
Llama-4-Scout,28.00,,20.54%,0.00%,0.024,2.23,8,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,12.00,
Qwen3-14B-Non-Thinking,20.00,,14.50%,0.00%,0.294,97.22,8,0.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,20.00,,16.55%,0.00%,0.365,139.90,8,0.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,20.00,,20.28%,0.00%,0.708,140.61,8,0.00,,0.00,,20.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,16.00,,8.87%,0.00%,0.022,0.45,8,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,16.00,,14.41%,0.00%,0.176,1.20,8,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,16.00,,14.42%,0.00%,0.598,2.87,8,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,16.00,,13.86%,0.00%,0.620,3.13,8,16.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,14.00,,5.27%,0.00%,0.016,0.00,8,0.00,,0.00,,14.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,14.00,,7.45%,0.00%,0.016,0.71,8,0.00,,0.00,,14.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,14.00,,13.48%,0.00%,0.059,0.84,8,0.00,,0.00,,14.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,12.00,,9.48%,0.00%,0.019,2.39,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,12.00,
seed-oss_512,12.00,,10.37%,0.00%,0.323,76.70,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,12.00,
Qwen3-32B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,3.27%,0.00%,0.025,3.97,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,6.50%,0.00%,0.051,0.81,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,6.67%,0.00%,0.574,7.87,8,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
