Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2024-sp_Board_Game,2024-sp_Board_Game_rel,2024-sp_Card_Collection,2024-sp_Card_Collection_rel,2024-sp_Escape_Route_2,2024-sp_Escape_Route_2_rel,2024-sp_Fish_3,2024-sp_Fish_3_rel,2024-sp_Growing_Vegetables_is_Fun_5,2024-sp_Growing_Vegetables_is_Fun_5_rel,2024-sp_Island_Hopping,2024-sp_Island_Hopping_rel,2024-sp_JOI_Tour,2024-sp_JOI_Tour_rel,2024-sp_Ski_2,2024-sp_Ski_2_rel,2024-sp_Spy_3,2024-sp_Spy_3_rel,2024-sp_Table_Tennis,2024-sp_Table_Tennis_rel,2024-sp_Tower,2024-sp_Tower_rel,2024-sp_Tricolor_Lights,2024-sp_Tricolor_Lights_rel
gpt-oss-120b-high,355.00,29.58%,41.64%,16.67%,1.153,38.86,12,17.00,17.00%,0.00,0.00%,54.00,54.00%,100.00,100.00%,30.00,30.00%,2.00,2.00%,52.00,52.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
grok-4-fast-reasoning,353.00,35.30%,53.82%,10.00%,1.798,109.74,10,17.00,17.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,30.00,30.00%,72.00,72.00%,52.00,52.00%,0.00,0.00%,N/A,N/A,77.00,77.00%,5.00,5.00%,N/A,N/A
gpt-5,339.00,28.25%,49.52%,8.33%,1.122,33.47,12,17.00,17.00%,11.00,11.00%,54.00,54.00%,100.00,100.00%,30.00,30.00%,65.00,65.00%,52.00,52.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,5.00,5.00%,0.00,0.00%
gpt-oss-120b-medium,273.00,22.75%,27.61%,16.67%,0.222,27.16,12,17.00,17.00%,0.00,0.00%,54.00,54.00%,100.00,100.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp4,273.00,22.75%,30.05%,16.67%,0.816,15.99,12,17.00,17.00%,0.00,0.00%,54.00,54.00%,100.00,100.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp3,242.00,20.17%,25.98%,16.67%,0.094,9.25,12,17.00,17.00%,0.00,0.00%,23.00,23.00%,100.00,100.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp1,237.00,19.75%,24.36%,16.67%,0.812,8.64,12,17.00,17.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,20.00,20.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_16384,211.00,,27.96%,8.33%,1.213,17.93,12,3.00,,0.00,,6.00,,9.00,,30.00,,11.00,,52.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-20b-high,194.00,16.17%,22.93%,8.33%,0.599,14.71,12,10.00,10.00%,0.00,0.00%,54.00,54.00%,100.00,100.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-pro,191.00,15.92%,34.42%,0.00%,1.315,40.34,12,17.00,17.00%,11.00,11.00%,54.00,54.00%,9.00,9.00%,30.00,30.00%,13.00,13.00%,52.00,52.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
gemini-2.5-flash,185.00,15.42%,32.79%,0.00%,1.933,22.71,12,3.00,3.00%,11.00,11.00%,14.00,14.00%,9.00,9.00%,30.00,30.00%,4.00,4.00%,52.00,52.00%,0.00,0.00%,0.00,0.00%,62.00,62.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,174.00,14.50%,32.62%,0.00%,1.044,117.42,12,10.00,10.00%,0.00,0.00%,54.00,54.00%,16.00,16.00%,30.00,30.00%,2.00,2.00%,52.00,52.00%,5.00,5.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b_sp2,151.00,12.58%,28.77%,8.33%,0.760,38.50,12,10.00,10.00%,0.00,0.00%,6.00,6.00%,100.00,100.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,144.00,12.00%,20.31%,8.33%,0.762,3.76,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,9.00,9.00%,30.00,30.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B,135.00,11.25%,18.29%,8.33%,0.795,3.97,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
claude-sonnet-4.5,135.00,13.50%,36.91%,0.00%,2.724,172.17,10,3.00,3.00%,11.00,11.00%,23.00,23.00%,9.00,9.00%,30.00,30.00%,2.00,2.00%,52.00,52.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,5.00,5.00%,N/A,N/A
gpt-o3-mini-high,110.00,9.17%,21.20%,0.00%,1.150,15.33,12,17.00,17.00%,0.00,0.00%,54.00,54.00%,9.00,9.00%,30.00,30.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,107.00,8.92%,23.37%,0.00%,1.302,34.40,12,3.00,3.00%,0.00,0.00%,6.00,6.00%,9.00,9.00%,30.00,30.00%,2.00,2.00%,52.00,52.00%,5.00,5.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Qwen3-8B,105.00,8.75%,13.82%,8.33%,0.132,3.61,12,3.00,3.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,2.00,2.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,100.00,8.33%,9.48%,8.33%,0.107,1.11,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,100.00,8.33%,11.68%,8.33%,0.280,2.17,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,99.00,,19.03%,0.00%,1.012,9.28,12,10.00,,0.00,,0.00,,0.00,,30.00,,2.00,,52.00,,0.00,,0.00,,5.00,,0.00,,0.00,
deepseek-reasoner,83.00,6.92%,17.20%,0.00%,0.516,5.93,12,3.00,3.00%,0.00,0.00%,6.00,6.00%,9.00,9.00%,0.00,0.00%,65.00,65.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,82.00,6.83%,12.92%,0.00%,1.102,109.08,12,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,30.00,30.00%,0.00,0.00%,52.00,52.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
