Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bikeparking,bikeparking_rel,bouquet,bouquet_rel,circlepassing,circlepassing_rel,gardendecorations,gardendecorations_rel,infiniterace,infiniterace_rel,lightbulbs,lightbulbs_rel,makethemmeet,makethemmeet_rel,teamcoding,teamcoding_rel
gpt-5,600.00,75.00%,75.00%,75.00%,0.131,7.06,8,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
grok-4-fast-reasoning,459.00,76.50%,84.06%,66.67%,0.308,11.57,6,25.00,25.00%,100.00,100.00%,100.00,100.00%,N/A,N/A,100.00,100.00%,N/A,N/A,34.00,34.00%,100.00,100.00%
gpt-oss-120b-high,436.00,54.50%,59.69%,50.00%,0.089,9.25,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,11.00,11.00%,100.00,100.00%
gpt-oss-20b-medium,436.00,54.50%,63.85%,50.00%,0.685,8.42,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,11.00,11.00%,0.00,0.00%
gpt-oss-120b_sp4,411.00,51.38%,52.69%,50.00%,0.048,3.34,8,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,11.00,11.00%,0.00,0.00%
gemini-2.5-pro,364.00,45.50%,55.27%,37.50%,0.234,17.54,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,29.00,29.00%,0.00,0.00%,10.00,10.00%,100.00,100.00%
gpt-oss-120b_sp3,362.00,45.25%,61.66%,37.50%,0.035,6.90,8,25.00,25.00%,100.00,100.00%,14.00,14.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,11.00,11.00%,12.00,12.00%
gpt-oss-120b-medium,348.00,43.50%,53.10%,37.50%,0.085,7.64,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,11.00,11.00%,12.00,12.00%
gpt-oss-120b_sp1,337.00,42.12%,53.29%,37.50%,0.066,5.28,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
gpt-o3-mini-high,336.00,42.00%,51.76%,37.50%,0.669,6.70,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,11.00,11.00%,0.00,0.00%
gpt-oss-120b_sp2,325.00,40.62%,49.35%,37.50%,0.624,6.48,8,25.00,25.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
gpt-oss-20b-low,272.00,34.00%,43.14%,25.00%,0.335,3.06,8,16.00,16.00%,100.00,100.00%,56.00,56.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%
