Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2025-ho-t1_Grid_Coloring,2025-ho-t1_Grid_Coloring_rel,2025-ho-t2_Bitaro_the_Brave_2,2025-ho-t2_Bitaro_the_Brave_2_rel,2025-ho-t3_Mi_Teleférico,2025-ho-t3_Mi_Teleférico_rel,2025-ho-t4_Just_Long_Neckties_2,2025-ho-t4_Just_Long_Neckties_2_rel,2025-ho-t5_Post_Office,2025-ho-t5_Post_Office_rel
gpt-5,303.00,,68.76%,60.00%,0.130,31.91,5,100.00,,100.00,,100.00,,0.00,,3.00,
gpt-o3-mini-high,284.00,,76.14%,40.00%,1.284,174.97,5,100.00,,100.00,,0.00,,72.00,,12.00,
gpt-oss-120b-high,279.00,,67.66%,40.00%,0.926,51.50,5,100.00,,100.00,,30.00,,46.00,,3.00,
gemini-2.5-flash,256.00,,67.48%,40.00%,1.296,265.07,5,100.00,,100.00,,7.00,,46.00,,3.00,
seed-oss_16384,256.00,,67.93%,40.00%,1.730,26.82,5,100.00,,100.00,,7.00,,46.00,,3.00,
seed-oss_8192,256.00,,68.44%,40.00%,1.754,22.45,5,100.00,,100.00,,7.00,,46.00,,3.00,
gemini-2.5-pro,256.00,,67.92%,40.00%,1.788,31.33,5,100.00,,100.00,,7.00,,46.00,,3.00,
gpt-oss-120b-medium,249.00,49.80%,64.06%,40.00%,0.844,28.02,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,46.00,46.00%,3.00,3.00%
seed-oss_-1,246.00,,59.58%,40.00%,1.272,253.14,5,100.00,,100.00,,0.00,,46.00,,0.00,
gpt-oss-20b-high,200.00,,51.85%,50.00%,0.123,14.21,4,100.00,,100.00,,0.00,,0.00,,N/A,
gpt-oss-20b-medium,200.00,,50.52%,50.00%,0.145,20.14,4,100.00,,100.00,,0.00,,0.00,,N/A,
gpt-oss-120b-low,161.00,,45.84%,20.00%,1.310,30.73,5,0.00,,100.00,,30.00,,28.00,,3.00,
gpt-4.1,160.00,,43.87%,20.00%,0.984,23.96,5,50.00,,100.00,,7.00,,0.00,,3.00,
DeepSeek-R1-Distill-Llama-70B,128.00,,40.59%,20.00%,0.758,230.16,5,25.00,,100.00,,0.00,,0.00,,3.00,
Qwen3-4B,110.00,,28.23%,20.00%,0.984,10.87,5,0.00,,100.00,,7.00,,0.00,,3.00,
Qwen3-8B,110.00,,28.91%,20.00%,1.028,23.12,5,0.00,,100.00,,7.00,,0.00,,3.00,
deepseek-reasoner,103.00,,31.15%,20.00%,0.074,9.25,5,0.00,,100.00,,0.00,,0.00,,3.00,
seed-oss_2048,100.00,,20.00%,20.00%,0.026,5.62,5,0.00,,100.00,,0.00,,0.00,,0.00,
gpt-oss-20b-low,100.00,,20.68%,20.00%,0.050,7.59,5,0.00,,100.00,,0.00,,0.00,,0.00,
seed-oss_4096,100.00,,20.48%,20.00%,0.518,6.45,5,0.00,,100.00,,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,56.00,,26.13%,0.00%,0.332,208.06,5,25.00,,31.00,,0.00,,0.00,,0.00,
Llama-4-Scout,56.00,,27.68%,0.00%,0.430,238.90,5,25.00,,31.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,56.00,,26.13%,0.00%,0.666,7.58,5,25.00,,31.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,31.00,,21.21%,0.00%,1.455,10.13,4,0.00,,31.00,,N/A,,0.00,,0.00,
Mistral-Large-Instruct-2411,28.00,,23.22%,0.00%,0.348,181.40,5,25.00,,0.00,,0.00,,0.00,,3.00,
Qwen3-8B-Non-Thinking,28.00,,22.02%,0.00%,0.408,219.46,5,25.00,,0.00,,0.00,,0.00,,3.00,
Qwen2.5-Coder-7B-Instruct,15.00,,10.86%,0.00%,0.180,209.14,5,15.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,0.00,,N/A,,N/A,,N/A,,N/A,
seed-oss_1024,0.00,,0.23%,0.00%,0.030,2.69,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,0.00%,0.00%,0.032,4.18,5,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,1.32%,0.00%,0.046,16.25,5,0.00,,0.00,,0.00,,0.00,,0.00,
