problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.120,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,5,5,2,3,0,0,0
s3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,2.00%,0.060,0.00390625,,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,0.00%,14.16%,1.210,13.9296875,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.900,59.4375,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,100.00%,0.460,85.328125,,3,4,5,6,7,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.56%,0.070,10.8359375,,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,0.00%,4.02%,0.400,84.08203125,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,100.00%,0.000,2.265625,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.000,1.5546875,,1,4,5,5,0,0,0
TOTAL,,155,,57.55%,,,56.25%,,,,,,,
