problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.140,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.060,0.00390625,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,0,0.00%,5.88%,2.490,33.86328125,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,5.56%,0.000,0,,0,0,0,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.200,2.5859375,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,1.290,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,0.00%,12.77%,2.410,613.703125,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,12.50%,27.72%,4.210,164.296875,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,6.203125,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,22.50%,12.90%,0.120,6.71484375,,0,27,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,29,41.43%,42.86%,0.110,0.00390625,,6,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,27.78%,37.21%,2.410,178.15234375,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,75,62.50%,65.57%,0.150,2.58203125,,0,0,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.00%,0.110,18.0546875,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.140,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.490,16.171875,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,3.28%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,3.23%,0.000,0,,0,0,0,0,0,0
TOTAL,,744,,41.85%,,,32.00%,,,,,,
