problem,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
Cute_Subsequences,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1
The_arithmetic_exercise,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1
Card_Flip,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
Order_Statistics,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
Best_Runner,1,0,-1,-1,-1,-1,-1,0,1,0,0,0,-1,-1,-1
Strong_Connectivity_Strikes_Back,1,0,-1,-1,-1,-1,-1,0,1,1,1,1,0,-1,-1
Colorful_Diameter,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
Road_Lighting,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
Repainting_the_Table,1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1
Distinctive_Features,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
Classic_Tree_Problem,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0
Stone_Enthusiast,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1
Egors_Gaming_Addiction,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1
Ultrafast_train,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1
