problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,MEMORY_LIMIT_EXCEEDED,27,50.00%,1.100,522.8515625,,8,0,19,0,0
milano,ACCEPTED,110,100.00%,0.070,3.62109375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,2.05%,0.140,64.77734375,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.92%,0.040,33.52734375,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.050,1.55859375,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,0.070,4.13671875,,16,26,32,36,0
trokut,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.050,3.10546875,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,1.92%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,72.66%,2.220,306.2890625,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,23,50.00%,2.210,18.3046875,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.040,6.19140625,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,64,57.89%,3.310,9.53515625,,16,19,29,0,0
kuglice,ACCEPTED,110,100.00%,0.050,35.84375,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.170,18.41796875,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.050,0.00390625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.050,122.2109375,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.050,6.97265625,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.330,13.0390625,,13,17,0,0,0
TOTAL,,1329,68.22%,,,56.00%,,,,,
