competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,614,1204,4030,709,4395,7072,1028,2012
APIO-2023,0,0,4,2,6,12,0,0
APIO-2024,0,0,0,0,12,11,0,1
BOI-2023,0,0,2,0,11,34,0,1
BOI-2024,0,0,13,0,8,26,0,1
BOI-2025,0,0,10,0,2,31,2,3
CCO-2023,12,0,17,5,8,60,2,24
CCO-2024,21,0,18,2,17,46,0,24
CEOI-2023,0,0,22,1,11,11,0,3
CEOI-2024,0,0,6,1,9,27,1,4
COCI-2023,15,0,20,3,39,95,5,23
COCI-2024,20,7,38,2,31,93,0,9
COCI-2025,12,0,32,15,31,86,13,11
EGOI-2023,0,0,9,0,4,36,11,4
EGOI-2024,0,0,4,0,11,37,7,5
EJOI-2023,0,0,9,1,22,9,3,4
EJOI-2024,0,0,6,2,25,9,0,6
IATI-2024,0,6,11,8,17,43,3,0
IOI-2023,0,0,7,0,16,23,0,2
IOI-2024,0,0,17,0,15,13,0,3
JOI-2023,0,0,26,4,45,61,6,18
JOI-2024,0,0,14,5,38,82,1,20
JOI-2025,0,0,10,1,3,13,0,13
NOINordic-2023,0,0,0,1,8,6,6,3
NOINordic-2024,0,0,6,0,5,9,0,4
NOINordic-2025,0,0,6,1,7,10,0,0
OOI-2023,1,0,24,5,0,38,52,16
OOI-2024,3,0,31,7,0,43,41,11
RMI-2023,0,0,1,0,38,8,1,0
RMI-2024,0,0,3,3,12,14,6,10
USACO-2023,18,58,84,19,80,78,0,47
USACO-2024,4,58,117,15,84,77,0,29
USACO-2025,0,46,65,13,85,50,0,29
