Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Making_Mexes,bronze_Making_Mexes_rel,bronze_Printing_Sequences,bronze_Printing_Sequences_rel,bronze_Reflection,bronze_Reflection_rel,gold_Bessies_Function,gold_Bessies_Function_rel,gold_Friendship_Editing,gold_Friendship_Editing_rel,gold_The_Best_Subsequence,gold_The_Best_Subsequence_rel,platinum_Min_Max_Subarrays,platinum_Min_Max_Subarrays_rel,platinum_Transforming_Pairs,platinum_Transforming_Pairs_rel,platinum_True_or_False_Test,platinum_True_or_False_Test_rel,silver_The_Best_Lineup,silver_The_Best_Lineup_rel,silver_Transforming_Pairs,silver_Transforming_Pairs_rel,silver_Vocabulary_Quiz,silver_Vocabulary_Quiz_rel
gpt-oss-120b-high,3663.00,,93.59%,91.67%,0.148,16.85,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,0.00,,333.00,,333.00,,333.00,,333.00,,333.00,
gpt-5,3663.00,,93.59%,91.67%,0.216,15.47,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,0.00,,333.00,,333.00,,333.00,,333.00,,333.00,
gpt-oss-120b-medium,2701.00,68.59%,70.79%,66.67%,0.114,8.92,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.10%,333.00,100.91%,333.00,103.10%,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,333.00,100.91%,333.00,100.91%
gpt-oss-20b-high,2664.00,,88.89%,88.89%,0.111,17.10,9,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,N/A,,N/A,,N/A,,0.00,,333.00,,333.00,
seed-oss_-1,2532.00,,67.45%,58.33%,0.567,8.06,12,333.00,,333.00,,333.00,,333.00,,333.00,,59.00,,0.00,,37.00,,105.00,,0.00,,333.00,,333.00,
gpt-oss-120b-low,2417.00,,61.55%,58.33%,0.412,20.90,12,333.00,,333.00,,333.00,,333.00,,333.00,,0.00,,67.00,,19.00,,0.00,,0.00,,333.00,,333.00,
seed-oss_16384,2336.00,,62.69%,50.00%,1.257,14.41,12,333.00,,333.00,,333.00,,18.00,,333.00,,78.00,,0.00,,0.00,,105.00,,137.00,,333.00,,333.00,
gpt-o3-mini-high,2305.00,,62.45%,50.00%,0.746,17.11,12,333.00,,333.00,,333.00,,333.00,,333.00,,98.00,,0.00,,0.00,,53.00,,0.00,,333.00,,156.00,
gemini-2.5-flash,2231.00,,59.55%,50.00%,1.188,47.10,12,333.00,,333.00,,333.00,,18.00,,333.00,,78.00,,0.00,,0.00,,0.00,,137.00,,333.00,,333.00,
gpt-oss-20b-medium,2057.00,,52.92%,50.00%,0.244,8.87,12,333.00,,333.00,,333.00,,333.00,,333.00,,59.00,,0.00,,0.00,,0.00,,0.00,,333.00,,0.00,
seed-oss_8192,1887.00,,49.58%,41.67%,0.255,5.55,12,333.00,,333.00,,333.00,,18.00,,67.00,,0.00,,0.00,,0.00,,0.00,,137.00,,333.00,,333.00,
Qwen3-32B,1706.00,,47.20%,41.67%,0.487,14.83,12,333.00,,333.00,,333.00,,333.00,,22.00,,0.00,,0.00,,19.00,,0.00,,0.00,,333.00,,0.00,
gemini-2.5-pro,1694.00,,47.17%,33.33%,0.592,18.10,12,333.00,,333.00,,333.00,,0.00,,200.00,,20.00,,0.00,,37.00,,105.00,,0.00,,333.00,,0.00,
deepseek-reasoner,1531.00,,42.22%,33.33%,0.517,5.80,12,333.00,,333.00,,333.00,,18.00,,44.00,,0.00,,0.00,,0.00,,0.00,,137.00,,333.00,,0.00,
gpt-oss-20b-low,1481.00,,39.42%,33.33%,0.440,9.23,12,333.00,,333.00,,333.00,,105.00,,44.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,0.00,
seed-oss_4096,1295.00,,36.81%,25.00%,0.288,28.88,12,333.00,,333.00,,333.00,,18.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,100.00,,156.00,
deepseek-chat,1048.00,,30.85%,25.00%,0.374,59.57,12,333.00,,30.00,,333.00,,0.00,,0.00,,0.00,,0.00,,19.00,,0.00,,0.00,,333.00,,0.00,
Qwen3-4B,1007.00,,30.10%,16.67%,0.582,4.03,12,333.00,,152.00,,333.00,,0.00,,22.00,,0.00,,0.00,,0.00,,0.00,,0.00,,167.00,,0.00,
