solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
2024-sp_Fish_3_gpt-oss-120b_0.cpp,RUNTIME_ERROR,0,0.00%,44.74%,0.340,51.94921875,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_1.cpp,ACCEPTED,100,100.00%,100.00%,0.340,63.22265625,9,7,28,20,36
2024-sp_Fish_3_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,9.21%,0.260,54.31640625,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_3.cpp,RUNTIME_ERROR,0,0.00%,20.51%,0.150,30.08203125,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_5.cpp,RUNTIME_ERROR,0,0.00%,9.21%,0.480,104.53125,0,0,0,0,0
2024-sp_Fish_3_gpt-oss-120b_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.170,26.56640625,0,0,0,0,0
