solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,12.90%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5_gpt-oss-120b_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0
