solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
2024-sp_Escape_Route_2_gpt-oss-120b_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,4.59%,2.420,2.06640625,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,4.59%,2.430,444.0625,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_2.cpp,RUNTIME_ERROR,23,23.00%,54.61%,0.570,27.59375,6,0,17,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_3.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_6.cpp,RUNTIME_ERROR,0,0.00%,4.59%,1.780,5.0078125,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
2024-sp_Escape_Route_2_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0
