problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.130,3.6171875,,15,20,35,0,0
baltazar,ACCEPTED,110,100.00%,100.00%,0.260,71.32421875,,15,30,65,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.160,4.90234375,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,0,0.00%,19.15%,0.410,30.69140625,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.220,9.29296875,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,19,26,29,36,0
slasticarnica,TIME_LIMIT_EXCEEDED,79,71.82%,77.50%,2.410,3.36328125,,21,0,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.120,2.1328125,,41,22,47,0,0
7krokods,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,26,7,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.290,383.375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.050,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,0.540,90.0390625,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.170,6.7109375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.050,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,12,10.91%,16.67%,3.630,18.5546875,,0,12,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.070,28.8828125,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.110,2.84765625,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,2.27%,0.160,11.015625,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.350,42.5625,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.270,12.90234375,,11,22,27,18,32
TOTAL,,1721,,80.62%,,,76.00%,,,,,
