problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-o3-mini-high,ACCEPTED,100,100.00%,100.00%,0.480,70.38671875
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-o3-mini-high,RUNTIME_ERROR,0,0.00%,40.00%,0.000,0
2023-sp_Passport,gpt-o3-mini-high,RUNTIME_ERROR,22,22.00%,72.92%,0.210,27.86328125
2023-sp_Belt_Conveyor,gpt-o3-mini-high,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,0.150,4.265625
2023-sp_Council,gpt-o3-mini-high,ACCEPTED,100,100.00%,100.00%,2.510,26.78125
2023-sp_Mizuyokan_2,gpt-o3-mini-high,RUNTIME_ERROR,0,0.00%,0.00%,0.200,27.078125
2023-sp_Chorus,gpt-o3-mini-high,RUNTIME_ERROR,0,0.00%,50.85%,0.140,0
2023-sp_Cookies,gpt-o3-mini-high,RUNTIME_ERROR,13,13.00%,71.59%,0.160,1.80859375
2023-sp_Tourism,gpt-o3-mini-high,TIME_LIMIT_EXCEEDED,28,28.00%,79.65%,4.810,18.5625
2023-sp_Super_Dango_Maker,gpt-o3-mini-high,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gpt-o3-mini-high,RUNTIME_ERROR,0,0.00%,5.95%,0.180,2.84765625
2023-sp_Bitaro’s_travel,gpt-o3-mini-high,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.400,2.84765625
