solution,status,score,relative_score,%test passed,time,memory
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
silver_Milk_Sum_Qwen3-8B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
