problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,WRONG_ANSWER,0,0.00%,93.88%,0.060,0.00390625,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.140,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.050,1.5546875,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,0.00%,14.71%,0.290,45.61328125,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.160,12.8984375,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,20,16.67%,42.55%,2.410,2.4921875,,20,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,75,62.50%,74.26%,4.210,254.1171875,,15,15,45,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.080,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,5.43359375,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,27,22.50%,12.90%,0.380,37.9296875,,0,27,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.070,5.59765625,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,RUNTIME_ERROR,29,41.43%,44.90%,0.080,0.00390625,,6,0,23,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,52.22%,74.42%,2.420,9.04296875,,25,13,9,0,0,0
blistavost,RUNTIME_ERROR,55,45.83%,52.46%,0.070,1.74609375,,0,0,55,0,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.070,4.390625,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.090,2.84765625,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.270,19.03125,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,0,0.00%,1.64%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,15,12.50%,33.87%,0.000,0,,0,0,0,15,0,0
TOTAL,,871,,55.12%,,,36.00%,,,,,,
