Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,autobus,autobus_rel,bojanje,bojanje_rel,karte,karte_rel,procesor,procesor_rel,stablo,stablo_rel
grok-4-fast-reasoning,240.00,75.00%,76.45%,75.00%,0.148,21.74,4,50.00,100.00%,0.00,0.00%,70.00,100.00%,N/A,N/A,120.00,100.00%
gpt-o3-mini-high,240.00,60.00%,61.45%,60.00%,0.128,17.08,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b-high,240.00,60.00%,61.16%,60.00%,0.132,11.72,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-20b-high,240.00,60.00%,60.87%,60.00%,0.134,11.72,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-5,240.00,60.00%,61.16%,60.00%,0.136,11.13,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b_sp3,240.00,60.00%,61.16%,60.00%,0.146,23.48,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b_sp2,240.00,60.00%,61.16%,60.00%,0.146,23.17,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gemini-2.5-pro,240.00,60.00%,61.16%,60.00%,0.152,23.58,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b-medium,240.00,60.00%,61.16%,60.00%,0.154,16.66,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gemini-2.5-flash,240.00,60.00%,61.16%,60.00%,0.176,23.94,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-20b-medium,240.00,60.00%,61.16%,60.00%,0.178,20.28,5,50.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
seed-oss_-1,190.00,40.00%,59.93%,40.00%,0.124,10.21,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b_sp1,190.00,40.00%,59.93%,40.00%,0.140,24.30,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
gpt-oss-120b_sp4,190.00,40.00%,59.93%,40.00%,0.152,16.66,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,120.00,100.00%
claude-sonnet-4.5,141.00,54.38%,60.64%,50.00%,0.647,14.18,4,50.00,100.00%,0.00,0.00%,70.00,100.00%,N/A,N/A,21.00,17.50%
Qwen3-14B,70.00,25.00%,28.68%,25.00%,0.135,11.80,4,0.00,0.00%,N/A,N/A,70.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,70.00,,39.93%,20.00%,0.026,0.00,5,0.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,70.00,,20.00%,20.00%,0.030,0.00,5,0.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,70.00,20.00%,20.00%,20.00%,0.030,0.00,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_1024,70.00,,24.42%,20.00%,0.034,0.00,5,0.00,,0.00,,70.00,,0.00,,0.00,
seed-oss_4096,70.00,,24.42%,20.00%,0.034,0.00,5,0.00,,0.00,,70.00,,0.00,,0.00,
gpt-oss-20b-low,70.00,20.00%,24.42%,20.00%,0.036,0.00,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-32B,70.00,,20.87%,20.00%,0.042,0.00,5,0.00,,0.00,,70.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,70.00,20.00%,24.13%,20.00%,0.042,0.00,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
OlympicCoder-7B,70.00,20.00%,24.13%,20.00%,0.044,0.00,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-4.1,70.00,20.00%,24.42%,20.00%,0.060,0.00,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-32B,70.00,,42.88%,20.00%,0.090,9.49,5,0.00,,0.00,,70.00,,0.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,70.00,20.00%,27.08%,20.00%,0.100,9.08,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
QwQ-32B,70.00,,27.37%,20.00%,0.106,15.55,5,0.00,,0.00,,70.00,,0.00,,0.00,
deepseek-reasoner,70.00,20.00%,42.88%,20.00%,0.108,9.44,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
gpt-oss-120b-low,70.00,20.00%,27.37%,20.00%,0.148,26.20,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
Qwen3-30B,70.00,,27.08%,20.00%,0.158,9.49,5,0.00,,0.00,,70.00,,0.00,,0.00,
seed-oss_512,70.00,,24.42%,20.00%,0.182,0.00,5,0.00,,0.00,,70.00,,0.00,,0.00,
Qwen3-4B,70.00,20.00%,23.81%,20.00%,0.184,16.28,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
deepseek-chat,70.00,20.00%,24.42%,20.00%,0.188,0.00,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
seed-oss_2048,70.00,,24.42%,20.00%,0.226,0.00,5,0.00,,0.00,,70.00,,0.00,,0.00,
Qwen3-8B,70.00,20.00%,22.05%,20.00%,0.538,6.77,5,0.00,0.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,0.00,0.00%
Mistral-Small-3.1-24B-2503,18.00,5.14%,10.99%,0.00%,0.098,0.00,5,0.00,0.00%,0.00,0.00%,18.00,25.71%,0.00,0.00%,0.00,0.00%
Llama-3.1-8B-Instruct,18.00,5.14%,15.17%,0.00%,0.110,0.35,5,0.00,0.00%,0.00,0.00%,18.00,25.71%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-7B-Instruct,18.00,5.14%,10.70%,0.00%,0.110,0.00,5,0.00,0.00%,0.00,0.00%,18.00,25.71%,0.00,0.00%,0.00,0.00%
Qwen2.5-72B,11.00,,11.60%,0.00%,0.236,0.00,5,0.00,,0.00,,11.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,11.00,,11.89%,0.00%,0.242,0.00,5,0.00,,0.00,,11.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,11.00,,13.08%,0.00%,0.248,0.00,5,0.00,,0.00,,11.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,11.00,3.14%,11.60%,0.00%,0.248,0.00,5,0.00,0.00%,0.00,0.00%,11.00,15.71%,0.00,0.00%,0.00,0.00%
DeepSeek-Coder-V2-Lite-Instruct,11.00,3.14%,11.60%,0.00%,0.248,0.00,5,0.00,0.00%,0.00,0.00%,11.00,15.71%,0.00,0.00%,0.00,0.00%
Qwen3-32B-Non-Thinking,11.00,3.14%,11.60%,0.00%,0.254,0.00,5,0.00,0.00%,0.00,0.00%,11.00,15.71%,0.00,0.00%,0.00,0.00%
Qwen3-4B-Non-Thinking,11.00,3.14%,8.62%,0.00%,0.254,0.00,5,0.00,0.00%,0.00,0.00%,11.00,15.71%,0.00,0.00%,0.00,0.00%
Qwen3-8B-Non-Thinking,11.00,3.14%,11.60%,0.00%,0.266,0.00,5,0.00,0.00%,0.00,0.00%,11.00,15.71%,0.00,0.00%,0.00,0.00%
Qwen3-30B-Non-Thinking,11.00,3.14%,11.89%,0.00%,0.268,0.32,5,0.00,0.00%,0.00,0.00%,11.00,15.71%,0.00,0.00%,0.00,0.00%
Mistral-Large-Instruct-2411,11.00,3.14%,11.60%,0.00%,0.274,0.00,5,0.00,0.00%,0.00,0.00%,11.00,15.71%,0.00,0.00%,0.00,0.00%
