competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-20b-high,41301,55.78%,0.45,33.60,41.65%
APIO-2023,gpt-oss-20b-high,37,26.32%,0.39,29.62,0.00%
APIO-2024,gpt-oss-20b-high,100,33.33%,0.14,3.38,33.33%
BOI-2023,gpt-oss-20b-high,208,75.24%,1.42,6.41,16.67%
BOI-2024,gpt-oss-20b-high,332,61.94%,0.18,34.50,50.00%
BOI-2025,gpt-oss-20b-high,93,28.88%,0.64,19.25,0.00%
CCO-2023,gpt-oss-20b-high,153,84.25%,0.13,24.08,75.00%
CCO-2024,gpt-oss-20b-high,162,59.56%,0.21,20.42,56.25%
CEOI-2023,gpt-oss-20b-high,15,13.22%,0.10,16.71,0.00%
CEOI-2024,gpt-oss-20b-high,160,57.56%,0.29,59.55,16.67%
COCI-2023,gpt-oss-20b-high,1850,86.27%,0.14,9.25,84.00%
COCI-2024,gpt-oss-20b-high,1446,80.50%,0.28,13.91,77.27%
COCI-2025,gpt-oss-20b-high,1653,79.37%,0.17,23.83,76.00%
EGOI-2023,gpt-oss-20b-high,300,37.50%,0.07,5.69,37.50%
EGOI-2024,gpt-oss-20b-high,200,40.00%,0.05,3.51,40.00%
EJOI-2023,gpt-oss-20b-high,245,60.71%,0.43,6.68,50.00%
EJOI-2024,gpt-oss-20b-high,372,63.25%,0.36,45.54,50.00%
IATI-2024,gpt-oss-20b-high,393,39.03%,0.24,22.74,27.27%
IOI-2023,gpt-oss-20b-high,36,17.98%,0.44,6.39,0.00%
IOI-2024,gpt-oss-20b-high,84,29.46%,0.77,367.41,0.00%
JOI-2023,gpt-oss-20b-high,458,49.92%,0.79,51.66,26.67%
JOI-2024,gpt-oss-20b-high,557,37.49%,0.57,11.49,20.00%
JOI-2025,gpt-oss-20b-high,200,51.85%,0.23,14.47,50.00%
NOINordic-2023,gpt-oss-20b-high,300,100.00%,1.23,43.03,100.00%
NOINordic-2024,gpt-oss-20b-high,109,46.31%,0.24,5.04,33.33%
NOINordic-2025,gpt-oss-20b-high,167,48.13%,0.40,37.02,33.33%
OOI-2023,gpt-oss-20b-high,889,73.91%,0.40,52.76,53.85%
OOI-2024,gpt-oss-20b-high,964,65.01%,0.66,31.53,56.25%
RMI-2023,gpt-oss-20b-high,270,64.79%,0.92,16.56,40.00%
RMI-2024,gpt-oss-20b-high,38,31.29%,0.95,27.31,0.00%
USACO-2023,gpt-oss-20b-high,11229,78.07%,0.49,12.56,75.00%
USACO-2024,gpt-oss-20b-high,10527,74.07%,0.53,28.22,65.91%
USACO-2025,gpt-oss-20b-high,7754,89.81%,0.49,24.66,88.46%
