competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,11011,3963,7342,515,1662,11728,826,209
APIO-2023,0,0,3,0,9,11,0,1
APIO-2024,1,0,4,1,13,5,0,0
BOI-2023,0,0,16,0,1,31,0,0
BOI-2024,5,0,7,2,5,29,0,0
BOI-2025,1,0,18,0,2,27,0,0
CCO-2023,57,0,14,5,3,48,0,1
CCO-2024,66,0,17,1,0,43,0,1
CEOI-2023,0,0,15,0,10,23,0,0
CEOI-2024,2,0,4,5,0,37,0,0
COCI-2023,118,0,7,1,1,65,8,0
COCI-2024,96,1,23,2,3,75,0,0
COCI-2025,104,2,18,1,3,57,15,0
EGOI-2023,20,0,10,0,0,26,8,0
EGOI-2024,14,0,9,0,0,33,8,0
EJOI-2023,2,0,30,0,1,15,0,0
EJOI-2024,21,0,18,0,0,9,0,0
IATI-2024,20,8,15,0,0,38,7,0
IOI-2023,0,0,7,0,18,23,0,0
IOI-2024,0,0,6,2,23,17,0,0
JOI-2023,12,0,54,1,10,81,1,1
JOI-2024,12,0,37,0,16,77,15,3
JOI-2025,12,0,17,0,0,11,0,0
NOINordic-2023,14,0,4,0,0,6,0,0
NOINordic-2024,6,2,5,0,0,11,0,0
NOINordic-2025,1,0,9,0,2,12,0,0
OOI-2023,24,0,39,4,0,66,3,0
OOI-2024,29,0,33,0,0,66,6,2
RMI-2023,7,0,6,4,2,29,0,0
RMI-2024,0,0,14,1,1,32,0,0
USACO-2023,158,134,53,10,8,21,0,0
USACO-2024,117,104,95,4,5,52,0,7
USACO-2025,113,80,58,3,6,26,0,2
