problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,deepseek-reasoner,TIME_LIMIT_EXCEEDED,10,10.00%,62.16%,4.810,35.5234375
2023-sp_Festivals_in_JOI_Kingdom_2,deepseek-reasoner,RUNTIME_ERROR,0,0.00%,32.73%,0.000,0
2023-sp_Passport,deepseek-reasoner,RUNTIME_ERROR,6,6.00%,47.14%,0.180,9.34765625
2023-sp_Belt_Conveyor,deepseek-reasoner,RUNTIME_ERROR,1,1.00%,12.90%,0.740,22.31640625
2023-sp_Council,deepseek-reasoner,TIME_LIMIT_EXCEEDED,56,56.00%,94.12%,3.600,13.4140625
2023-sp_Mizuyokan_2,deepseek-reasoner,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Chorus,deepseek-reasoner,RUNTIME_ERROR,0,0.00%,12.66%,0.000,0
2023-sp_Cookies,deepseek-reasoner,RUNTIME_ERROR,13,13.00%,70.88%,0.160,1.5546875
2023-sp_Tourism,deepseek-reasoner,TIME_LIMIT_EXCEEDED,28,28.00%,79.65%,4.810,9.60546875
2023-sp_Super_Dango_Maker,deepseek-reasoner,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,deepseek-reasoner,RUNTIME_ERROR,0,0.00%,5.95%,0.180,7.453125
2023-sp_Bitaro’s_travel,deepseek-reasoner,TIME_LIMIT_EXCEEDED,15,15.00%,77.88%,2.400,4.39453125
