problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.100,6.7109375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.080,3.62109375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,1.37%,0.130,47.51171875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,0.270,85.34375,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.070,1.5546875,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,100.00%,0.300,3.6171875,,16,26,32,36,0
trokut,ACCEPTED,110,100.00%,100.00%,0.060,0.00390625,,13,36,15,46,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,2.7890625,,7,27,36,0,0
lepeze,ACCEPTED,110,100.00%,100.00%,0.210,9.8046875,,12,16,30,12,40
putovanje,ACCEPTED,110,100.00%,100.00%,0.550,5.80078125,,10,20,35,45,0
roboti,ACCEPTED,110,100.00%,100.00%,0.420,52.78515625,,10,13,49,38,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.060,6.19140625,,7,16,22,25,0
dizalo,RUNTIME_ERROR,64,58.18%,92.11%,0.270,24.3125,,16,19,29,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.070,17.85546875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.150,9.2890625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.060,2.06640625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,0.670,99.72265625,,12,17,25,56,0
kocke,ACCEPTED,110,100.00%,100.00%,0.180,1.58984375,,20,30,30,30,0
mostovi,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,1914,,87.74%,,,84.00%,,,,,
