problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.290,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.050,3.09765625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,10.62%,0.110,2.99609375,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,23.21%,4.430,91.79296875,,5,0,0,0,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.050,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.56%,0.200,39.65625,,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,1.15%,0.160,33.65234375,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.090,2.328125,,6,7,2,0,0,0,0
j4,RUNTIME_ERROR,6,41.94%,0.060,2.078125,,3,3,0,0,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.55078125,,1,4,5,5,0,0,0
TOTAL,,101,42.34%,,,37.50%,,,,,,,
