problem,status,score,%test passed,time,memory,pass_rate
2023-open-t1_Ancient_Machine_2,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-open-t2_Cell_Automaton,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-open-t3_Garden,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Two_Currencies,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Festivals_in_JOI_Kingdom_2,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Passport,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Belt_Conveyor,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Council,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Mizuyokan_2,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Chorus,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Cookies,UNKNOWN,0,0.00%,0.000,0,
2023-sp_Tourism,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Security_Guard,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-sp_Bitaro’s_travel,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-ho-t1_Stone_Arranging_2,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-ho-t2_Advertisement_2,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-ho-t3_Maze,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-ho-t4_Cat_Exercise,COMPILATION_ERROR,0,0.00%,0.000,0,
2023-ho-t5_Modern_Machine,COMPILATION_ERROR,0,0.00%,0.000,0,
TOTAL,,0,0.00%,,,0.00%
