problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,2.70%,0.130,4.91796875,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,0.00%,7.38%,0.110,2.07421875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,25.00%,0.00%,0.150,1.94921875,,4.72823,4.07686,3.3626899999999997,2.89704,2.49904,2.03989,1.73442,1.4582600000000001,1.1255,0.8935700000000001
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.220,33.78125,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,0.00%,51.82%,0.100,3.87109375,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.220,17.30859375,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.170,5.80859375,,0,5,5,10,20,10,20,30,0,0
twins,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,100.00%,0.320,14.07421875,,0,10,7,29,27,7,14,6,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.100,4.13671875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,345,,35.57%,,,27.27%,,,,,,,,,,
