Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,771.00,42.83%,62.40%,27.78%,0.643,21.20,18
gemini-2.5-pro,692.00,38.44%,60.24%,22.22%,1.139,116.26,18
grok-4-fast-reasoning,686.00,38.11%,62.07%,16.67%,0.859,49.95,18
gpt-oss-120b_sp1,653.00,36.28%,44.77%,22.22%,0.445,19.82,18
gpt-oss-20b-high,633.00,37.24%,56.91%,23.53%,0.752,20.10,17
gpt-oss-120b-high,611.00,33.94%,49.72%,27.78%,0.461,23.62,18
gpt-oss-120b_sp2,568.00,31.56%,41.26%,22.22%,0.497,20.87,18
gpt-oss-120b-medium,556.00,30.89%,46.71%,22.22%,0.509,19.02,18
gpt-oss-120b_sp4,541.00,30.06%,42.63%,22.22%,0.541,18.55,18
gpt-oss-20b-medium,534.00,29.67%,42.69%,22.22%,0.458,19.64,18
seed-oss_-1,526.00,29.22%,46.70%,22.22%,0.648,27.70,18
gpt-o3-mini-high,525.00,29.17%,42.36%,16.67%,0.776,37.96,18
claude-sonnet-4.5,518.00,28.78%,58.66%,5.56%,1.422,114.38,18
gpt-oss-120b_sp3,515.00,28.61%,41.30%,22.22%,0.690,41.72,18
seed-oss_8192,490.00,,36.16%,22.22%,0.291,89.22,18
gemini-2.5-flash,408.00,22.67%,45.77%,5.56%,1.072,72.36,18
seed-oss_16384,362.00,,38.93%,11.11%,0.618,23.21,18
gpt-oss-120b-low,311.00,17.28%,31.99%,11.11%,0.461,92.77,18
deepseek-reasoner,273.00,15.17%,38.23%,5.56%,0.482,16.20,18
gpt-4.1,178.00,9.89%,32.50%,0.00%,1.368,104.07,18
gpt-oss-20b-low,79.00,4.65%,20.32%,0.00%,0.261,5.99,17
OlympicCoder-7B,73.00,4.06%,14.95%,0.00%,0.293,6.10,18
DeepSeek-R1-Distill-Llama-70B,51.00,2.83%,17.08%,0.00%,0.235,14.14,18
seed-oss_4096,51.00,,12.52%,0.00%,0.436,8.98,18
Llama-4-Scout,42.00,2.33%,12.16%,0.00%,0.058,31.21,18
Qwen3-4B,42.00,2.33%,12.75%,0.00%,0.276,3.91,18
Mistral-Large-Instruct-2411,39.00,2.17%,14.90%,0.00%,0.477,25.29,18
Qwen2.5-Coder-14B-Instruct,38.00,2.11%,10.21%,0.00%,0.106,3.89,18
Qwen3-30B-Non-Thinking,32.00,1.78%,13.64%,0.00%,0.603,12.92,18
Qwen3-8B,30.00,1.67%,18.10%,0.00%,0.634,10.18,18
OlympicCoder-32B,26.00,6.50%,19.15%,0.00%,0.085,2.07,4
Qwen3-32B-Non-Thinking,22.00,1.22%,13.52%,0.00%,0.239,36.47,18
Qwen3-4B-Non-Thinking,22.00,1.22%,7.12%,0.00%,0.246,15.87,18
Qwen3-14B-Non-Thinking,21.00,1.17%,6.69%,0.00%,0.124,7.71,18
Mistral-Small-3.1-24B-2503,21.00,1.17%,7.25%,0.00%,0.138,5.74,18
deepseek-chat,21.00,1.17%,16.33%,0.00%,0.192,28.76,18
OpenCodeReasoning-Nemotron-32B-IOI,20.00,1.11%,15.66%,0.00%,0.192,11.69,18
Qwen3-8B-Non-Thinking,20.00,1.11%,10.32%,0.00%,0.211,19.28,18
Qwen3-32B,17.00,1.89%,15.42%,0.00%,0.497,7.24,9
Qwen2.5-Coder-32B-Instruct,14.00,1.75%,6.61%,0.00%,0.512,44.56,8
Qwen3-30B,12.00,2.00%,7.74%,0.00%,0.687,27.16,6
seed-oss_2048,11.00,,5.13%,0.00%,0.046,5.55,18
DeepSeek-Coder-V2-Lite-Instruct,9.00,0.50%,5.77%,0.00%,0.134,21.81,18
Codestral-22B-v0.1,9.00,0.50%,3.75%,0.00%,0.166,4.12,18
seed-oss_0,1.00,,3.76%,0.00%,0.218,5.18,18
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,18
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.70%,0.00%,0.006,0.09,18
seed-oss_1024,0.00,,2.42%,0.00%,0.092,69.05,18
Llama-3.1-8B-Instruct,0.00,0.00%,2.18%,0.00%,0.110,4.65,18
Qwen2.5-72B,0.00,0.00%,1.82%,0.00%,0.115,16.52,6
QwQ-32B,0.00,0.00%,10.96%,0.00%,0.116,16.64,8
Qwen3-14B,0.00,0.00%,4.54%,0.00%,0.150,32.11,6
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,2.41%,0.00%,0.167,4.96,18
seed-oss_512,0.00,,4.47%,0.00%,0.176,8.80,18
DeepSeek-R1-Distill-Qwen-32B,0.00,0.00%,5.34%,0.00%,0.270,19.15,8
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,5.48%,0.00%,0.585,23.31,8
Llama-3.3-70B-Instruct,0.00,0.00%,1.76%,0.00%,0.638,14.17,6
