problem_id,model,solution_file,status,score,relative_score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.110,6.79296875
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_2.cpp,RUNTIME_ERROR,32,32.00%,51.61%,0.080,17.1953125
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.120,7.7421875
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.180,231.96875
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.120,7.1796875
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,claude-haiku-4.5,abc_claude-haiku-4.5_7.cpp,RUNTIME_ERROR,12,12.00%,39.29%,0.230,236.9453125
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_0.cpp,TIME_LIMIT_EXCEEDED,20,20.00%,23.17%,2.980,254.203125
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_1.cpp,RUNTIME_ERROR,97,97.00%,82.93%,1.920,60.84765625
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_2.cpp,TIME_LIMIT_EXCEEDED,20,20.00%,23.17%,3.000,301.51953125
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_3.cpp,TIME_LIMIT_EXCEEDED,15,15.00%,20.73%,3.000,264.02734375
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_4.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_5.cpp,TIME_LIMIT_EXCEEDED,15,15.00%,20.73%,2.990,260.65234375
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_6.cpp,UNKNOWN,0,0.00%,0.00%,0.000,0
APIO-2023-contest-cyberland,claude-haiku-4.5,cyberland_claude-haiku-4.5_7.cpp,RUNTIME_ERROR,15,15.00%,20.73%,1.000,22.6875
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_0.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.880,6.4609375
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,22.11%,1.860,5.78515625
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_2.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,22.11%,1.890,6.4609375
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_3.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.840,6.19921875
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,22.11%,1.820,5.78515625
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_5.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,22.11%,1.850,5.78515625
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_6.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,22.11%,1.890,7.234375
APIO-2023-contest-sequence,claude-haiku-4.5,sequence_claude-haiku-4.5_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,22.11%,1.870,5.78515625
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.290,1.66015625
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_1.cpp,TIME_LIMIT_EXCEEDED,25,25.00%,25.00%,1.270,0.00390625
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_2.cpp,TIME_LIMIT_EXCEEDED,25,25.00%,25.00%,1.290,0.00390625
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.340,8.4296875
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.280,0.00390625
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_5.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.300,58.6171875
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_6.cpp,TIME_LIMIT_EXCEEDED,25,25.00%,25.00%,1.290,0.00390625
APIO-2024-contest-september,claude-haiku-4.5,september_claude-haiku-4.5_7.cpp,TIME_LIMIT_EXCEEDED,25,25.00%,25.00%,1.360,0.00390625
APIO-2024-contest-train,claude-haiku-4.5,train_claude-haiku-4.5_0.cpp,TIME_LIMIT_EXCEEDED,10,10.00%,32.14%,1.210,231.8671875
APIO-2024-contest-train,claude-haiku-4.5,train_claude-haiku-4.5_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
