problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,MEMORY_LIMIT_EXCEEDED,0,3.77%,0.020,8.140625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.030,2.7109375,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.270,0.00390625,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,10,27.03%,0.150,6.97265625,,0.0,0,0,0,0,0,0,0,0,10.0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,40.17%,4.810,11.36328125,,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,79,65.56%,0.090,31.12109375,,0.0,23.0,0,0,0,0,0,10.0,16.0,19.0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,66,57.26%,0.020,2.58203125,,0,0,0,0,0,0,0,0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,29,64.61%,8.410,5.16796875,,0.0,10.0,0,0,0,0,0,8.0,11.0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,72,90.00%,1.800,266.37890625,,0.0,17.0,0,0,0,0,0,21.0,34.0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,0.700,275.08984375,,0.0,10.0,0,0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,55,92.16%,2.420,62.98046875,,0.0,8.0,0,0,0,0,0,7.0,9.0,0,8.0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.360,2.82421875,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,65.12%,2.410,48.48828125,,0.0,8.0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,0.040,9.61328125,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,734,54.04%,,,23.53%,,,,,,,,,,,,,,,
