Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Candy_Cane_Feast,bronze_Candy_Cane_Feast_rel,bronze_Cowntact_Tracing_2,bronze_Cowntact_Tracing_2_rel,bronze_Farmer_John_Actually_Farms,bronze_Farmer_John_Actually_Farms_rel,gold_Flight_Routes,gold_Flight_Routes_rel,gold_Haybale_Distribution,gold_Haybale_Distribution_rel,gold_Minimum_Longest_Trip,gold_Minimum_Longest_Trip_rel,platinum_A_Graph_Problem,platinum_A_Graph_Problem_rel,platinum_Cowntact_Tracing,platinum_Cowntact_Tracing_rel,platinum_Train_Scheduling,platinum_Train_Scheduling_rel,silver_Bovine_Acrobatics,silver_Bovine_Acrobatics_rel,silver_Cycle_Correspondence,silver_Cycle_Correspondence_rel,silver_Target_Practice,silver_Target_Practice_rel
gemini-2.5-pro,3514.00,,89.67%,75.00%,0.142,27.64,12,333.00,,167.00,,333.00,,333.00,,333.00,,333.00,,333.00,,50.00,,300.00,,333.00,,333.00,,333.00,
seed-oss_-1,3481.00,,88.80%,75.00%,0.273,21.85,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,117.00,,67.00,,300.00,,333.00,,333.00,,333.00,
gpt-oss-20b-high,3414.00,,86.96%,83.33%,0.636,8.25,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,17.00,,67.00,,333.00,,333.00,,333.00,,333.00,
gpt-5,3414.00,,87.35%,75.00%,0.276,9.09,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,50.00,,67.00,,300.00,,333.00,,333.00,,333.00,
gpt-oss-120b-high,3397.00,,86.96%,83.33%,0.327,17.79,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,0.00,,67.00,,333.00,,333.00,,333.00,,333.00,
gpt-oss-120b-medium,3397.00,87.06%,86.99%,75.00%,0.163,31.53,12,333.00,102.46%,333.00,100.91%,333.00,100.91%,333.00,104.06%,333.00,100.91%,333.00,104.06%,0.00,0.00%,100.00,31.25%,300.00,93.75%,333.00,100.91%,333.00,102.78%,333.00,102.78%
gpt-oss-20b-medium,3348.00,,86.04%,66.67%,0.451,8.85,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,17.00,,117.00,,300.00,,333.00,,333.00,,250.00,
gpt-o3-mini-high,3331.00,,85.69%,66.67%,0.378,20.98,12,333.00,,167.00,,333.00,,333.00,,333.00,,333.00,,50.00,,150.00,,300.00,,333.00,,333.00,,333.00,
gpt-oss-120b-low,3076.00,,78.06%,58.33%,0.102,11.69,12,333.00,,167.00,,333.00,,333.00,,333.00,,333.00,,0.00,,0.00,,300.00,,333.00,,333.00,,278.00,
seed-oss_16384,2998.00,,78.88%,58.33%,0.657,20.65,12,333.00,,167.00,,333.00,,333.00,,333.00,,333.00,,50.00,,67.00,,300.00,,333.00,,333.00,,83.00,
deepseek-reasoner,2688.00,,72.60%,50.00%,0.626,10.93,12,333.00,,167.00,,333.00,,333.00,,333.00,,83.00,,17.00,,67.00,,300.00,,333.00,,333.00,,56.00,
seed-oss_8192,2504.00,,66.12%,50.00%,0.660,12.43,12,333.00,,167.00,,333.00,,333.00,,333.00,,333.00,,50.00,,67.00,,33.00,,133.00,,333.00,,56.00,
Qwen3-32B,2481.00,,68.02%,41.67%,0.641,14.66,12,333.00,,167.00,,333.00,,333.00,,333.00,,83.00,,50.00,,0.00,,300.00,,133.00,,333.00,,83.00,
gemini-2.5-flash,2464.00,,65.64%,50.00%,0.897,56.69,12,333.00,,300.00,,333.00,,0.00,,333.00,,333.00,,17.00,,33.00,,33.00,,333.00,,333.00,,83.00,
QwQ-32B,2437.00,,66.27%,50.00%,0.521,9.65,12,333.00,,67.00,,333.00,,333.00,,333.00,,83.00,,50.00,,0.00,,183.00,,333.00,,333.00,,56.00,
DeepSeek-R1-Distill-Llama-70B,2248.00,,61.29%,41.67%,0.483,47.43,12,333.00,,100.00,,333.00,,17.00,,333.00,,83.00,,0.00,,0.00,,300.00,,333.00,,333.00,,83.00,
Qwen3-30B,2115.00,,59.61%,41.67%,0.855,12.53,12,333.00,,67.00,,333.00,,17.00,,333.00,,83.00,,17.00,,0.00,,183.00,,333.00,,333.00,,83.00,
Qwen3-14B,2015.00,,57.14%,33.33%,1.039,32.33,12,333.00,,100.00,,333.00,,0.00,,333.00,,83.00,,50.00,,17.00,,183.00,,222.00,,333.00,,28.00,
DeepSeek-R1-Distill-Qwen-32B,1904.00,,52.78%,33.33%,0.413,10.99,12,333.00,,133.00,,333.00,,333.00,,333.00,,0.00,,17.00,,0.00,,183.00,,44.00,,139.00,,56.00,
gpt-oss-20b-low,1838.00,,50.97%,33.33%,0.462,12.56,12,51.00,,133.00,,333.00,,333.00,,333.00,,83.00,,17.00,,0.00,,0.00,,333.00,,139.00,,83.00,
Qwen3-8B,1772.00,,51.88%,25.00%,0.691,32.37,12,333.00,,100.00,,333.00,,17.00,,333.00,,0.00,,17.00,,0.00,,300.00,,200.00,,56.00,,83.00,
