competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1139,188,3698,302,72,970,32,47
APIO-2023,0,0,9,0,0,15,0,0
APIO-2024,0,0,12,0,0,4,0,0
BOI-2023,0,0,24,0,3,21,0,0
BOI-2024,0,0,40,4,0,4,0,0
BOI-2025,4,0,33,2,0,9,0,0
CCO-2023,28,0,49,7,0,35,0,9
CCO-2024,48,0,35,2,0,30,0,13
CEOI-2023,0,0,17,0,0,23,0,0
CEOI-2024,0,0,33,2,3,10,0,0
COCI-2023,63,0,39,2,0,16,0,0
COCI-2024,83,0,98,3,0,14,0,2
COCI-2025,65,3,88,3,1,16,0,0
EGOI-2023,16,0,7,1,1,31,0,0
EGOI-2024,1,0,24,1,0,17,5,0
EJOI-2023,0,0,35,0,8,5,0,0
EJOI-2024,2,0,29,2,2,13,0,0
IATI-2024,12,8,50,0,1,15,2,0
IOI-2023,0,0,19,0,0,29,0,0
IOI-2024,0,0,25,1,1,21,0,0
JOI-2023,1,0,111,4,3,33,0,0
JOI-2024,0,0,79,18,0,47,0,0
JOI-2025,10,0,28,1,0,1,0,0
NOINordic-2023,10,0,8,0,0,6,0,0
NOINordic-2024,2,0,20,1,0,1,0,0
NOINordic-2025,2,0,22,0,0,0,0,0
OOI-2023,6,0,101,7,0,13,1,0
OOI-2024,7,0,100,3,0,10,8,0
RMI-2023,0,0,24,0,0,24,0,0
RMI-2024,2,0,25,4,7,10,0,0
USACO-2023,106,43,204,27,2,2,0,0
USACO-2024,47,17,277,40,1,2,0,0
USACO-2025,53,23,184,16,3,8,0,1
