problem_id,model,solution_file,status,score,relative_score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_0.cpp,RUNTIME_ERROR,4,4.00%,25.93%,0.170,232.12109375
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_1.cpp,RUNTIME_ERROR,28,28.00%,43.33%,0.240,339.9765625
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_2.cpp,RUNTIME_ERROR,12,12.00%,39.29%,0.200,232.015625
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_3.cpp,RUNTIME_ERROR,12,12.00%,48.39%,0.120,232.26953125
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_4.cpp,RUNTIME_ERROR,36,36.00%,63.89%,0.210,231.65625
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_5.cpp,RUNTIME_ERROR,12,12.00%,48.39%,0.200,232.13671875
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_6.cpp,RUNTIME_ERROR,12,12.00%,48.39%,0.200,232.1640625
APIO-2023-contest-abc,claude-sonnet-4.5,abc_claude-sonnet-4.5_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.190,231.8828125
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_0.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.820,22.75
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_1.cpp,TIME_LIMIT_EXCEEDED,97,97.00%,87.80%,2.970,74.99609375
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_2.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.500,29.0546875
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_3.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.500,29.0546875
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_4.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.610,32.1640625
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_5.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.520,28.1640625
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_6.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.790,21.91796875
APIO-2023-contest-cyberland,claude-sonnet-4.5,cyberland_claude-sonnet-4.5_7.cpp,RUNTIME_ERROR,15,15.00%,20.73%,0.500,28.1640625
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_0.cpp,TIME_LIMIT_EXCEEDED,28,28.00%,60.58%,1.800,9.98046875
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_1.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.810,27.6015625
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_2.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.810,27.6015625
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,18.48%,1.800,6.88671875
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_4.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.800,27.6015625
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_5.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.810,31.2109375
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_6.cpp,TIME_LIMIT_EXCEEDED,57,57.00%,80.82%,1.810,19.875
APIO-2023-contest-sequence,claude-sonnet-4.5,sequence_claude-sonnet-4.5_7.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.820,27.6015625
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_0.cpp,TIME_LIMIT_EXCEEDED,14,14.00%,12.50%,1.210,8.73046875
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_1.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.230,0.00390625
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_2.cpp,TIME_LIMIT_EXCEEDED,25,25.00%,25.00%,1.220,0.00390625
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.230,0.00390625
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_4.cpp,TIME_LIMIT_EXCEEDED,14,14.00%,12.50%,1.210,207.91015625
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_5.cpp,TIME_LIMIT_EXCEEDED,25,25.00%,25.00%,1.230,0.00390625
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_6.cpp,TIME_LIMIT_EXCEEDED,55,55.00%,62.50%,1.230,2.20703125
APIO-2024-contest-september,claude-sonnet-4.5,september_claude-sonnet-4.5_7.cpp,TIME_LIMIT_EXCEEDED,55,55.00%,62.50%,1.220,13.79296875
APIO-2024-contest-train,claude-sonnet-4.5,train_claude-sonnet-4.5_0.cpp,TIME_LIMIT_EXCEEDED,5,5.00%,14.29%,1.210,8.21484375
APIO-2024-contest-train,claude-sonnet-4.5,train_claude-sonnet-4.5_1.cpp,TIME_LIMIT_EXCEEDED,5,5.00%,17.86%,1.210,36.86328125
APIO-2024-contest-train,claude-sonnet-4.5,train_claude-sonnet-4.5_2.cpp,TIME_LIMIT_EXCEEDED,5,5.00%,21.43%,1.220,49.9453125
APIO-2024-contest-train,claude-sonnet-4.5,train_claude-sonnet-4.5_3.cpp,RUNTIME_ERROR,10,10.00%,32.14%,0.480,12.3359375
APIO-2024-contest-train,claude-sonnet-4.5,train_claude-sonnet-4.5_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,16.07%,1.220,73.36328125
