problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,8.93%,0.100,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.230,5.26953125,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.120,2.07421875,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.370,1.55859375,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,16.82%,0.410,14.92578125,,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,4.00%,47.45%,4.810,4.68359375,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,35,35.00%,25.89%,0.220,27.6640625,,0.0,0,0,0,0,0,16.0,19.0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.5546875,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,0,0.00%,4.10%,8.410,5.39453125,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,0,0.00%,13.68%,2.420,6.7109375,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,30.00%,53.94%,3.600,43.578125,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,38.00%,89.37%,2.420,27.56640625,,0.0,8.0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.620,2.828125,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,15,15.00%,60.19%,2.410,13.9296875,,0.0,8.0,0,0,0,7.0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,42,42.00%,85.96%,0.150,7.7421875,,0.0,17.0,0,0,0,13.0,12.0,0,0,0,0,0,0
TOTAL,,568,,48.20%,,,23.53%,,,,,,,,,,,,,
