problem,model,status,score,%test passed,time,memory
2023-sp_Two_Currencies,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,seed-oss_512,RUNTIME_ERROR,0,32.73%,0.050,1.5
2023-sp_Passport,seed-oss_512,RUNTIME_ERROR,0,22.41%,0.090,13.92578125
2023-sp_Belt_Conveyor,seed-oss_512,RUNTIME_ERROR,0,3.23%,0.190,15.5234375
2023-sp_Council,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Mizuyokan_2,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Chorus,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Cookies,seed-oss_512,RUNTIME_ERROR,0,15.97%,0.050,0
2023-sp_Tourism,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Super_Dango_Maker,seed-oss_512,COMPILATION_ERROR,0,0.00%,0.000,0
2023-sp_Security_Guard,seed-oss_512,RUNTIME_ERROR,0,5.95%,0.080,9.28515625
2023-sp_Bitaro’s_travel,seed-oss_512,RUNTIME_ERROR,0,5.17%,0.000,0
