problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,0,16.38%,2.410,66.484375,,0.0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,0.060,5.1640625,,0.0,14.0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.020,2.8984375,,0,4.0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.170,0.00390625,,0.0,13.0,10.0,7.0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,15,49.61%,0.100,0.00390625,,0.0,0,0,0,0,9.0,0,6.0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,60,52.82%,0.080,8.25390625,,0.0,23.0,0,0,10.0,16.0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.020,1.49609375,,0.0,11.0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,48,84.94%,8.420,21.6640625,,0.0,10.0,0,0,8.0,11.0,0,0,11.0,8.0,0,0
Road_Lighting,RUNTIME_ERROR,10,18.56%,0.920,30.9375,,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,ACCEPTED,100,100.00%,0.710,102.55859375,,0.0,17.0,0,0,21.0,34.0,28.0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,0.370,95.91015625,,0.0,10.0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,0.490,238.125,,0.0,8.0,11.0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.370,2.8203125,,0.0,16.0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,0.400,65.61328125,,0.0,8.0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,ACCEPTED,100,100.00%,0.040,7.58203125,,0.0,17.0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,1037,66.79%,,,52.94%,,,,,,,,,,,,
