problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Llama-3.3-70B-Instruct,TIME_LIMIT_EXCEEDED,0,0.00%,9.21%,2.400,5.828125
2024-sp_Ski_2,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Spy_3,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Llama-3.3-70B-Instruct,RUNTIME_ERROR,3,3.00%,8.07%,0.170,4.640625
2024-sp_Tricolor_Lights,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,4.60%,0.000,0
2024-sp_Card_Collection,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,16.67%,0.000,0
2024-sp_JOI_Tour,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Tower,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,0.00%,0.170,2.84765625
2024-sp_Escape_Route_2,Llama-3.3-70B-Instruct,TIME_LIMIT_EXCEEDED,0,0.00%,4.59%,2.400,2.5859375
2024-sp_Island_Hopping,Llama-3.3-70B-Instruct,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Table_Tennis,Llama-3.3-70B-Instruct,RUNTIME_ERROR,0,0.00%,10.26%,0.170,13.41796875
