problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,3.77%,0.090,4.90234375,,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,1.12%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,0,0.00%,0.090,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,RUNTIME_ERROR,93,96.79%,0.280,2.58984375,,0.0,13.0,10.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,17.59%,0.410,16.5078125,,0.0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,11,4.67%,0.130,3.62109375,,0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,RUNTIME_ERROR,66,57.26%,0.100,1.55078125,,0,0,0,0,0,12.0,13.0,20.0,21.0,0,0,0
Colorful_Diameter,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Stone_Enthusiast,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,170,10.66%,,,0.00%,,,,,,,,,,,,
