competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-120b_sp4,40109,50.98%,0.53,34.98,35.09%
APIO-2023,gpt-oss-120b_sp4,31,23.54%,0.80,8.16,0.00%
APIO-2024,gpt-oss-120b_sp4,105,39.29%,0.54,15.92,33.33%
BOI-2023,gpt-oss-120b_sp4,134,47.00%,1.01,2.09,16.67%
BOI-2024,gpt-oss-120b_sp4,356,66.89%,0.17,30.10,50.00%
BOI-2025,gpt-oss-120b_sp4,51,14.00%,0.44,23.47,0.00%
CCO-2023,gpt-oss-120b_sp4,156,61.34%,0.09,21.47,43.75%
CCO-2024,gpt-oss-120b_sp4,157,58.43%,0.14,16.50,56.25%
CEOI-2023,gpt-oss-120b_sp4,10,2.15%,0.09,6.88,0.00%
CEOI-2024,gpt-oss-120b_sp4,160,56.20%,0.21,49.92,16.67%
COCI-2023,gpt-oss-120b_sp4,1760,79.26%,0.13,12.65,76.00%
COCI-2024,gpt-oss-120b_sp4,1564,76.61%,0.38,17.64,64.00%
COCI-2025,gpt-oss-120b_sp4,1373,71.39%,0.28,39.10,60.00%
EGOI-2023,gpt-oss-120b_sp4,300,37.50%,0.03,7.70,37.50%
EGOI-2024,gpt-oss-120b_sp4,411,52.69%,0.05,3.34,50.00%
EJOI-2023,gpt-oss-120b_sp4,200,43.29%,0.24,32.09,16.67%
EJOI-2024,gpt-oss-120b_sp4,372,64.20%,0.32,44.11,50.00%
IATI-2024,gpt-oss-120b_sp4,347,39.95%,0.25,9.20,20.00%
IOI-2023,gpt-oss-120b_sp4,18,6.95%,0.38,18.48,0.00%
IOI-2024,gpt-oss-120b_sp4,90,28.96%,1.13,7.18,0.00%
JOI-2023,gpt-oss-120b_sp4,604,47.03%,0.85,17.36,20.00%
JOI-2024,gpt-oss-120b_sp4,522,38.93%,0.84,19.49,20.00%
JOI-2025,gpt-oss-120b_sp4,287,74.39%,1.76,283.65,40.00%
NOINordic-2023,gpt-oss-120b_sp4,240,92.27%,1.75,52.27,66.67%
NOINordic-2024,gpt-oss-120b_sp4,109,46.31%,0.30,5.17,33.33%
NOINordic-2025,gpt-oss-120b_sp4,167,55.73%,0.86,78.63,33.33%
OOI-2023,gpt-oss-120b_sp4,1007,66.94%,0.74,102.05,47.06%
OOI-2024,gpt-oss-120b_sp4,722,51.54%,0.67,23.41,29.41%
RMI-2023,gpt-oss-120b_sp4,240,52.39%,0.38,38.91,33.33%
RMI-2024,gpt-oss-120b_sp4,200,36.51%,0.64,56.66,33.33%
USACO-2023,gpt-oss-120b_sp4,11534,73.97%,0.47,30.48,66.67%
USACO-2024,gpt-oss-120b_sp4,9966,64.58%,0.39,27.38,56.25%
USACO-2025,gpt-oss-120b_sp4,6916,61.05%,0.54,17.79,52.78%
