solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
Pinball_gpt-oss-120b_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_1.cpp,RUNTIME_ERROR,40,40.00%,65.00%,0.600,97.55859375,0,13,8,0,10,0,9,0
Pinball_gpt-oss-120b_2.cpp,RUNTIME_ERROR,0,0.00%,9.09%,0.170,72.875,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_3.cpp,RUNTIME_ERROR,40,40.00%,65.00%,0.600,71.76953125,0,13,8,0,10,0,9,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0
Pinball_gpt-oss-120b_5.cpp,MEMORY_LIMIT_EXCEEDED,40,40.00%,67.50%,1.150,188.13671875,0,13,8,0,10,0,9,0
Pinball_gpt-oss-120b_6.cpp,MEMORY_LIMIT_EXCEEDED,40,40.00%,67.50%,1.060,183.75,0,13,8,0,10,0,9,0
Pinball_gpt-oss-120b_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,3.610,6.96484375,0,0,0,0,0,0,0,0
