Rank,Model,Contest Count,Total Tasks,Total Score,Total Included Score,Relative Score (%),Avg Tests Passed (%),Pass Rate (%),Gold Medals,Silver Medals,Bronze Medals,Total Medals,Competition Count,Avg Human Percentile,Avg Human Percentile (Competition)
1,grok-4-fast-reasoning,10,49,2664.0,2664.0,82.58469387755102,90.36836734693878,85.71428571428571,9,1,0,10,2,97.26789653772975,97.46376456306997
2,gpt-5,10,49,2610.0,2610.0,82.75510204081633,87.8691836734694,86.53061224489795,9,1,0,10,2,96.87533545425086,97.20454469020282
3,gpt-oss-120b-high,10,49,2513.0,2513.0,80.08163265306122,86.75183673469387,80.40816326530611,9,1,0,10,2,96.39934361783938,96.81875991560898
4,gemini-2.5-pro,10,49,2466.0,2466.0,77.85000000000001,85.14469387755102,78.36734693877551,8,2,0,10,2,95.74890759694607,95.8979957842485
5,gemini-2.5-flash,10,49,2361.0,2361.0,72.58571428571429,80.80489795918368,74.28571428571429,8,2,0,10,2,94.17120748080359,93.96712476448292
6,gpt-oss-120b-medium,10,49,2402.0,2402.0,75.38775510204081,81.7926530612245,78.36734693877551,8,1,1,10,2,91.78556942763417,91.14465204749867
7,gpt-oss-120b_sp4,10,49,2389.0,2389.0,73.04081632653062,80.77489795918366,70.61224489795919,8,1,1,10,2,92.98873315063648,92.93177822228714
8,gpt-oss-20b-high,10,49,2540.0,2540.0,78.43571428571428,85.20061224489795,82.44897959183673,7,3,0,10,2,93.99501673762964,94.07001488267984
9,gpt-oss-120b_sp2,10,49,2369.0,2369.0,74.94591836734693,81.29979591836735,78.36734693877551,7,3,0,10,2,93.42520251584375,93.59516969785827
10,gpt-o3-mini-high,10,49,2337.0,2337.0,74.5234693877551,80.66224489795918,78.36734693877551,7,3,0,10,2,94.34384665482455,94.67106878082365
11,gpt-oss-120b_sp3,10,49,2331.0,2331.0,72.08877551020407,77.98857142857143,74.28571428571429,7,3,0,10,2,92.83173269903965,92.85333242685314
12,gpt-oss-120b_sp1,10,49,2308.0,2308.0,72.42857142857143,81.61673469387753,76.73469387755102,7,1,2,10,2,89.76642169845829,89.30486519716204
13,gpt-oss-20b-medium,10,49,2219.0,2219.0,68.76224489795918,76.75285714285715,70.20408163265306,6,4,0,10,2,91.34344713848623,91.24516073652842
14,seed-oss_-1,10,49,2232.0,2232.0,68.44897959183673,76.35551020408164,68.57142857142857,5,3,2,10,2,86.99685589110037,86.28318404131429
15,claude-sonnet-4.5,10,49,1709.0,1709.0,58.12244897959184,73.16142857142857,59.183673469387756,4,4,2,10,2,84.45961121056936,85.63103661040299
16,gpt-oss-120b-low,10,49,2123.0,2123.0,70.38775510204081,77.21285714285713,73.06122448979592,8,1,0,9,2,91.0644699374175,92.12945695444013
17,deepseek-reasoner,10,49,1656.0,1656.0,58.775510204081634,67.65857142857142,58.77551020408164,4,3,2,9,2,79.82154319034936,80.92365552422525
18,gpt-oss-20b-low,10,49,1643.0,1643.0,57.00714285714285,66.47918367346938,62.857142857142854,4,3,2,9,2,82.2923529847231,83.70258227505914
19,Qwen3-32B,10,49,1631.0,1631.0,57.57142857142857,68.36163265306122,56.734693877551024,4,3,2,9,2,80.78634054986595,81.73134889235675
20,gpt-4.1,10,49,1644.0,1644.0,56.68061224489796,64.41285714285713,58.77551020408164,3,3,3,9,2,79.3056690591822,79.73352649679063
21,Qwen3-14B,10,49,1504.0,1504.0,52.55102040816327,61.966734693877555,51.02040816326531,3,3,3,9,2,76.02867702861644,77.10093216202863
22,OpenCodeReasoning-Nemotron-32B-IOI,10,49,1482.0,1482.0,54.183673469387756,63.55142857142857,56.734693877551024,3,3,3,9,2,77.9808086189268,79.2995947003948
23,seed-oss_8192,10,49,1762.0,1762.0,56.775510204081634,68.00142857142858,56.734693877551024,2,6,1,9,2,80.81545000424154,80.77039073869202
24,deepseek-chat,10,49,1320.0,1320.0,49.02755102040816,59.65163265306123,50.10204081632653,2,2,5,9,2,72.39503827395782,73.72760291057328
25,Qwen3-8B,10,49,1297.0,1297.0,48.905102040816324,56.81530612244898,46.53061224489796,1,3,5,9,2,71.29183284371145,72.68775467116058
26,Qwen3-30B,10,49,1547.0,1547.0,53.775510204081634,62.247346938775515,52.6530612244898,2,5,1,8,2,74.7435614484852,75.48134917124007
27,QwQ-32B,10,49,1475.0,1475.0,44.673469387755105,52.58734693877551,44.48979591836735,2,2,3,7,2,60.825611607122845,57.94957554389623
