problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Festivals_in_JOI_Kingdom_2,QwQ-32B,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0
2023-sp_Passport,QwQ-32B,RUNTIME_ERROR,6,6.00%,62.35%,0.170,12.22265625
2023-sp_Belt_Conveyor,QwQ-32B,TIME_LIMIT_EXCEEDED,0,0.00%,3.23%,0.410,669.8515625
2023-sp_Council,QwQ-32B,TIME_LIMIT_EXCEEDED,41,41.00%,88.10%,3.610,28.8828125
2023-sp_Mizuyokan_2,QwQ-32B,RUNTIME_ERROR,0,0.00%,0.00%,0.170,3.10546875
2023-sp_Chorus,QwQ-32B,RUNTIME_ERROR,0,0.00%,42.06%,0.140,0
2023-sp_Cookies,QwQ-32B,RUNTIME_ERROR,6,6.00%,55.56%,0.150,0.00390625
2023-sp_Tourism,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Super_Dango_Maker,QwQ-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,QwQ-32B,RUNTIME_ERROR,0,0.00%,5.95%,0.200,16.70703125
