problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.170,28.56640625,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.050,3.87890625,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.110,23.46875,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,0.780,131.26953125,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.010,2.66796875,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.120,2.1484375,,20,40,50,0,0
rolete,RUNTIME_ERROR,0,2.04%,0.050,14.75390625,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.020,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.030,2.7890625,,7,27,36,0,0
putovanje,ACCEPTED,110,100.00%,1.260,5.62109375,,10,20,35,45,0
roboti,TIME_LIMIT_EXCEEDED,10,13.64%,2.410,26.69921875,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.010,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.030,6.96484375,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.050,17.8046875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.120,8.515625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.020,1.82421875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.210,98.75,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.000,0,,0,0,0,0,0
mostovi,RUNTIME_ERROR,0,0.00%,0.060,9.94921875,,0,0,0,0,0
TOTAL,,1310,67.90%,,,66.67%,,,,,
