Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,j1,j1_rel,j2,j2_rel,j3,j3_rel,j4,j4_rel,j5,j5_rel
gpt-5,75.00,,100.00%,100.00%,0.010,0.84,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-oss-20b-low,75.00,,100.00%,100.00%,0.014,1.36,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-oss-120b-medium,75.00,100.00%,100.00%,100.00%,0.022,0.77,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
Qwen3-8B,75.00,,100.00%,100.00%,0.022,1.26,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-o3-mini-high,75.00,,100.00%,100.00%,0.026,0.77,5,15.00,,15.00,,15.00,,15.00,,15.00,
gemini-2.5-pro,75.00,,100.00%,100.00%,0.026,0.81,5,15.00,,15.00,,15.00,,15.00,,15.00,
gemini-2.5-flash,75.00,,100.00%,100.00%,0.026,0.81,5,15.00,,15.00,,15.00,,15.00,,15.00,
gpt-4.1,75.00,,100.00%,100.00%,0.046,0.82,5,15.00,,15.00,,15.00,,15.00,,15.00,
QwQ-32B,75.00,,100.00%,100.00%,0.048,1.54,5,15.00,,15.00,,15.00,,15.00,,15.00,
DeepSeek-R1-Distill-Qwen-14B,75.00,,100.00%,100.00%,0.052,1.34,5,15.00,,15.00,,15.00,,15.00,,15.00,
Qwen3-30B,75.00,,100.00%,100.00%,0.052,1.29,5,15.00,,15.00,,15.00,,15.00,,15.00,
DeepSeek-R1-Distill-Llama-70B,75.00,,100.00%,100.00%,0.054,1.34,5,15.00,,15.00,,15.00,,15.00,,15.00,
DeepSeek-R1-Distill-Qwen-32B,72.00,,96.13%,80.00%,0.054,1.81,5,15.00,,15.00,,15.00,,12.00,,15.00,
Llama-4-Scout,66.00,,88.39%,80.00%,0.016,0.00,5,15.00,,15.00,,15.00,,6.00,,15.00,
Qwen3-32B-Non-Thinking,66.00,,88.39%,80.00%,0.026,0.73,5,15.00,,15.00,,15.00,,6.00,,15.00,
deepseek-chat,66.00,,92.26%,80.00%,0.030,1.29,5,15.00,,15.00,,15.00,,6.00,,15.00,
Qwen2.5-Coder-32B-Instruct,66.00,,88.39%,80.00%,0.044,1.19,5,15.00,,15.00,,15.00,,6.00,,15.00,
Qwen2.5-Coder-14B-Instruct,66.00,,88.39%,80.00%,0.048,1.19,5,15.00,,15.00,,15.00,,6.00,,15.00,
Mistral-Large-Instruct-2411,66.00,,88.39%,80.00%,0.050,1.19,5,15.00,,15.00,,15.00,,6.00,,15.00,
Qwen3-4B,63.00,,87.10%,80.00%,0.016,1.20,5,15.00,,15.00,,15.00,,3.00,,15.00,
Qwen2.5-72B,63.00,,83.23%,80.00%,0.048,1.14,5,15.00,,15.00,,15.00,,3.00,,15.00,
Qwen3-30B-Non-Thinking,63.00,,87.10%,80.00%,0.048,1.20,5,15.00,,15.00,,15.00,,3.00,,15.00,
Mistral-Small-3.1-24B-2503,63.00,,84.52%,80.00%,0.050,1.12,5,15.00,,15.00,,15.00,,3.00,,15.00,
seed-oss_8192,60.00,,100.00%,100.00%,0.020,0.97,4,N/A,,15.00,,15.00,,15.00,,15.00,
seed-oss_-1,60.00,,80.00%,80.00%,0.016,0.78,5,0.00,,15.00,,15.00,,15.00,,15.00,
Codestral-22B-v0.1,60.00,,82.58%,80.00%,0.046,0.73,5,15.00,,15.00,,15.00,,0.00,,15.00,
Qwen3-4B-Non-Thinking,60.00,,81.94%,80.00%,0.062,1.19,5,15.00,,15.00,,15.00,,0.00,,15.00,
Llama-3.1-8B-Instruct,51.00,,64.44%,60.00%,0.032,1.12,5,15.00,,15.00,,6.00,,0.00,,15.00,
seed-oss_512,48.00,,79.03%,75.00%,0.023,0.76,4,N/A,,15.00,,15.00,,3.00,,15.00,
Llama-3.3-70B-Instruct,48.00,,71.23%,60.00%,0.042,0.62,5,15.00,,0.00,,15.00,,3.00,,15.00,
Qwen2.5-Coder-7B-Instruct,36.00,,52.44%,40.00%,0.026,0.78,5,15.00,,0.00,,6.00,,0.00,,15.00,
