problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,100.00%,0.000,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,100.00%,0.150,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,0.00%,7.25%,0.060,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.430,85.40234375,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,100.00%,0.190,1.5546875,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,100.00%,0.450,89.10546875,,7,11,17,29,26,0
crtez,TIME_LIMIT_EXCEEDED,0,0.00%,8.51%,2.410,2.40625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,100.00%,0.790,95.65625,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.070,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.100,9.234375,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,64,53.33%,29.03%,0.150,18.15625,,0,27,37,0,0,0
tura,TIME_LIMIT_EXCEEDED,0,0.00%,25.90%,0.600,5.203125,,0,0,0,0,0,0
paradoks,ACCEPTED,50,100.00%,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,100.00%,0.100,1.55859375,,6,13,23,28,0,0
razlicitost,TIME_LIMIT_EXCEEDED,47,52.22%,74.42%,2.420,10.76171875,,25,13,9,0,0,0
blistavost,ACCEPTED,120,100.00%,100.00%,0.190,1.8125,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.070,3.875,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,100.00%,0.160,3.6171875,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,100.00%,0.230,5.9375,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,35,29.17%,32.79%,0.420,22.56640625,,0,0,35,0,0,0
zbunjenost,ACCEPTED,120,100.00%,100.00%,0.190,45.1171875,,13,18,34,15,40,0
TOTAL,,1419,,72.15%,,,64.00%,,,,,,
