Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,blistavost,blistavost_rel,igre,igre_rel,paradoks,paradoks_rel,razlicitost,razlicitost_rel,trokuti,trokuti_rel
gpt-oss-120b-high,343.00,,85.19%,80.00%,0.068,3.87,5,120.00,,70.00,,50.00,,90.00,,13.00,
gpt-oss-20b-high,343.00,,85.00%,80.00%,0.078,60.54,5,120.00,,70.00,,50.00,,90.00,,13.00,
seed-oss_-1,343.00,,85.19%,80.00%,0.226,98.37,5,120.00,,70.00,,50.00,,90.00,,13.00,
gpt-oss-20b-medium,343.00,,85.19%,80.00%,0.306,23.69,5,120.00,,70.00,,50.00,,90.00,,13.00,
gpt-5,343.00,,85.19%,80.00%,1.062,50.63,5,120.00,,70.00,,50.00,,90.00,,13.00,
gemini-2.5-pro,300.00,,80.08%,60.00%,0.198,7.94,5,120.00,,70.00,,50.00,,47.00,,13.00,
gpt-o3-mini-high,300.00,,80.08%,60.00%,0.498,3.19,5,120.00,,70.00,,50.00,,47.00,,13.00,
gpt-oss-120b-medium,287.00,70.44%,74.88%,60.00%,0.506,39.04,5,120.00,100.00%,70.00,100.00%,50.00,100.00%,47.00,52.22%,0.00,0.00%
seed-oss_16384,280.00,,76.47%,40.00%,0.664,223.94,5,100.00,,70.00,,50.00,,47.00,,13.00,
QwQ-32B,278.00,,72.63%,60.00%,0.096,2.55,5,120.00,,70.00,,50.00,,25.00,,13.00,
gemini-2.5-flash,272.00,,72.73%,40.00%,0.548,71.21,5,120.00,,42.00,,50.00,,47.00,,13.00,
Qwen3-32B,265.00,,67.44%,60.00%,0.478,3.65,5,120.00,,70.00,,50.00,,25.00,,0.00,
Qwen3-30B,253.00,,66.20%,40.00%,0.516,6.82,5,120.00,,23.00,,50.00,,47.00,,13.00,
Qwen3-14B,253.00,,65.38%,40.00%,0.542,5.71,5,120.00,,23.00,,50.00,,47.00,,13.00,
seed-oss_8192,242.00,,67.41%,40.00%,0.512,5.32,5,100.00,,70.00,,50.00,,9.00,,13.00,
gpt-oss-120b-low,235.00,,68.60%,40.00%,0.512,2.48,5,55.00,,70.00,,50.00,,47.00,,13.00,
gpt-oss-20b-low,227.00,,64.32%,20.00%,0.622,284.56,5,100.00,,70.00,,10.00,,47.00,,0.00,
gpt-4.1,214.00,,62.50%,20.00%,0.958,2.38,5,75.00,,29.00,,50.00,,47.00,,13.00,
deepseek-reasoner,194.00,,59.55%,20.00%,0.474,3.07,5,55.00,,29.00,,50.00,,47.00,,13.00,
seed-oss_2048,156.00,,46.36%,20.00%,0.516,2.02,5,55.00,,29.00,,50.00,,9.00,,13.00,
seed-oss_4096,148.00,,38.27%,20.00%,0.054,1.09,5,55.00,,70.00,,10.00,,0.00,,13.00,
Qwen3-8B,142.00,,34.13%,0.00%,0.534,39.82,5,75.00,,29.00,,0.00,,25.00,,13.00,
Qwen2.5-Coder-32B-Instruct,122.00,,31.36%,0.00%,0.908,1.50,5,55.00,,42.00,,0.00,,25.00,,0.00,
Qwen3-32B-Non-Thinking,103.00,,23.01%,0.00%,0.062,1.55,5,75.00,,6.00,,0.00,,22.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,83.00,,29.65%,0.00%,0.508,2.58,5,0.00,,23.00,,0.00,,47.00,,13.00,
seed-oss_1024,74.00,,14.75%,0.00%,0.026,1.09,5,55.00,,6.00,,0.00,,0.00,,13.00,
deepseek-chat,74.00,,30.05%,0.00%,0.040,2.07,5,0.00,,29.00,,10.00,,22.00,,13.00,
seed-oss_512,67.00,,24.26%,0.00%,0.512,1.55,5,0.00,,29.00,,0.00,,25.00,,13.00,
Llama-4-Scout,61.00,,14.53%,0.00%,0.032,0.31,5,55.00,,6.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,54.00,,25.10%,0.00%,0.944,42.96,5,0.00,,19.00,,0.00,,22.00,,13.00,
Qwen2.5-Coder-14B-Instruct,51.00,,16.35%,0.00%,0.484,1.25,5,20.00,,6.00,,0.00,,25.00,,0.00,
Qwen3-4B-Non-Thinking,45.00,,12.75%,0.00%,0.072,1.40,5,0.00,,23.00,,0.00,,22.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,44.00,,15.08%,0.00%,0.452,102.53,5,0.00,,6.00,,0.00,,25.00,,13.00,
Qwen3-4B,42.00,,14.59%,0.00%,0.044,5.25,5,0.00,,29.00,,0.00,,0.00,,13.00,
DeepSeek-Coder-V2-Lite-Instruct,38.00,,14.12%,0.00%,0.112,44.86,5,0.00,,0.00,,0.00,,25.00,,13.00,
Mistral-Small-3.1-24B-2503,36.00,,10.31%,0.00%,0.956,50.78,5,0.00,,23.00,,0.00,,0.00,,13.00,
Qwen3-30B-Non-Thinking,33.00,,14.12%,0.00%,0.068,1.71,5,0.00,,23.00,,10.00,,0.00,,0.00,
Codestral-22B-v0.1,31.00,,11.57%,0.00%,0.092,20.28,5,0.00,,6.00,,0.00,,25.00,,0.00,
Llama-3.3-70B-Instruct,31.00,,21.47%,0.00%,0.480,1.50,5,0.00,,6.00,,0.00,,25.00,,0.00,
Mistral-Large-Instruct-2411,31.00,,12.09%,0.00%,0.494,1.19,5,0.00,,6.00,,0.00,,25.00,,0.00,
seed-oss_0,19.00,,11.69%,0.00%,0.024,0.83,5,0.00,,0.00,,10.00,,9.00,,0.00,
Qwen2.5-72B,19.00,,10.72%,0.00%,0.490,38.78,5,0.00,,19.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,13.00,,5.00%,0.00%,0.028,0.77,5,0.00,,0.00,,0.00,,0.00,,13.00,
DeepSeek-R1-Distill-Llama-8B,13.00,,5.00%,0.00%,0.028,2.06,5,0.00,,0.00,,0.00,,0.00,,13.00,
Qwen2.5-Coder-7B-Instruct,6.00,,3.88%,0.00%,0.030,0.00,5,0.00,,6.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,N/A,,0.00,
Qwen3-14B-Non-Thinking,0.00,,4.99%,0.00%,0.023,0.52,3,0.00,,N/A,,0.00,,N/A,,0.00,
Llama-3.1-8B-Instruct,0.00,,2.34%,0.00%,0.044,0.34,5,0.00,,0.00,,0.00,,0.00,,0.00,
