Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Air_Cownditioning_II,bronze_Air_Cownditioning_II_rel,bronze_Leaders,bronze_Leaders_rel,bronze_Moo_Operations,bronze_Moo_Operations_rel,gold_Find_and_Replace,gold_Find_and_Replace_rel,gold_Lights_Off,gold_Lights_Off_rel,gold_Moo_Route,gold_Moo_Route_rel,platinum_Mana_Collection,platinum_Mana_Collection_rel,platinum_Subtree_Activation,platinum_Subtree_Activation_rel,platinum_Tractor_Paths,platinum_Tractor_Paths_rel,silver_Find_and_Replace,silver_Find_and_Replace_rel,silver_Following_Directions,silver_Following_Directions_rel,silver_Moo_Route,silver_Moo_Route_rel
gpt-oss-120b-high,3219.00,82.47%,81.98%,66.67%,0.773,31.03,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.42%,333.00,102.78%,333.00,104.06%,333.00,100.91%,217.00,67.81%,44.00,13.33%,238.00,73.91%,333.00,103.42%,56.00,17.28%
gpt-5,2853.00,72.75%,73.27%,66.67%,0.166,20.57,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.42%,333.00,102.78%,33.00,10.31%,333.00,100.91%,100.00,31.25%,333.00,100.91%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-120b_sp4,2669.00,68.20%,69.04%,58.33%,0.799,31.56,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,238.00,73.91%,333.00,102.78%,333.00,104.06%,333.00,100.91%,0.00,0.00%,44.00,13.33%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gemini-2.5-pro,2641.00,67.55%,68.49%,58.33%,0.911,66.39,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.42%,333.00,102.78%,333.00,104.06%,121.00,36.67%,0.00,0.00%,133.00,40.30%,0.00,0.00%,333.00,103.42%,56.00,17.28%
grok-4-fast-reasoning,2591.00,72.43%,72.72%,54.55%,1.110,46.80,11,333.00,100.91%,333.00,100.91%,N/A,N/A,238.00,73.91%,333.00,102.78%,333.00,104.06%,333.00,100.91%,17.00,5.31%,44.00,13.33%,238.00,73.91%,333.00,103.42%,56.00,17.28%
gpt-o3-mini-high,2556.00,65.42%,66.45%,58.33%,0.416,57.17,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.42%,333.00,102.78%,333.00,104.06%,152.00,46.06%,17.00,5.31%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-120b-medium,2530.00,64.63%,65.26%,58.33%,0.496,20.67,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,333.00,102.78%,333.00,104.06%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-20b-high,2387.00,73.05%,73.64%,70.00%,0.235,22.95,10,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.42%,333.00,102.78%,N/A,N/A,333.00,100.91%,0.00,0.00%,N/A,N/A,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-120b_sp2,2387.00,60.93%,61.89%,58.33%,0.201,85.99,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,333.00,102.78%,333.00,104.06%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-120b_sp1,2171.00,55.36%,57.04%,50.00%,0.386,19.88,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,333.00,103.42%,0.00,0.00%,100.00,31.25%,333.00,100.91%,17.00,5.31%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gemini-2.5-flash,2108.00,53.92%,55.81%,41.67%,2.119,85.39,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,204.00,62.96%,333.00,104.06%,0.00,0.00%,33.00,10.31%,44.00,13.33%,0.00,0.00%,333.00,103.42%,19.00,5.86%
gpt-oss-120b_sp3,2023.00,51.51%,53.69%,33.33%,0.839,65.97,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,238.00,73.91%,0.00,0.00%,33.00,10.31%,303.00,91.82%,17.00,5.31%,44.00,13.33%,0.00,0.00%,333.00,103.42%,56.00,17.28%
seed-oss_-1,1958.00,49.96%,52.09%,41.67%,1.329,12.54,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,333.00,102.78%,33.00,10.31%,0.00,0.00%,17.00,5.31%,44.00,13.33%,0.00,0.00%,333.00,103.42%,56.00,17.28%
claude-sonnet-4.5,1744.00,44.46%,47.67%,33.33%,1.958,116.91,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,56.00,17.28%,50.00,15.62%,30.00,9.09%,33.00,10.31%,44.00,13.33%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-20b-medium,1598.00,40.73%,43.53%,33.33%,0.325,12.01,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,0.00,0.00%,67.00,20.94%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-20b-low,1568.00,39.94%,40.54%,33.33%,0.887,36.39,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,37.00,11.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
deepseek-reasoner,1568.00,39.94%,42.36%,33.33%,0.997,32.10,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,37.00,11.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
seed-oss_16384,1564.00,,42.32%,33.33%,0.560,9.54,12,333.00,,333.00,,333.00,,143.00,,0.00,,33.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
QwQ-32B,1468.00,,39.65%,33.33%,1.093,22.88,12,333.00,,333.00,,333.00,,0.00,,56.00,,0.00,,0.00,,0.00,,0.00,,24.00,,333.00,,56.00,
deepseek-chat,1425.00,36.24%,37.34%,33.33%,1.226,36.61,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
Qwen3-32B,1388.00,,36.70%,33.33%,0.927,25.86,12,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
gpt-oss-120b-low,1388.00,35.29%,36.65%,33.33%,0.971,48.94,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-4.1,1377.00,35.00%,36.49%,25.00%,1.591,43.43,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,71.00,22.05%,214.00,66.46%,56.00,17.28%
Qwen3-14B,1306.00,,35.72%,25.00%,1.545,44.14,12,333.00,,333.00,,333.00,,0.00,,37.00,,0.00,,0.00,,0.00,,0.00,,0.00,,214.00,,56.00,
OpenCodeReasoning-Nemotron-32B-IOI,1269.00,32.21%,33.92%,25.00%,1.655,52.66,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,71.00,22.05%,143.00,44.41%,56.00,17.28%
Qwen3-30B,1235.00,,36.11%,27.27%,1.473,24.87,11,333.00,,333.00,,333.00,,0.00,,37.00,,0.00,,0.00,,N/A,,0.00,,0.00,,143.00,,56.00,
DeepSeek-R1-Distill-Llama-70B,1229.00,31.33%,33.76%,25.00%,1.950,56.30,12,333.00,100.91%,22.00,6.67%,333.00,100.91%,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,44.00,13.33%,71.00,22.05%,333.00,103.42%,56.00,17.28%
DeepSeek-R1-Distill-Qwen-32B,1213.00,,31.77%,25.00%,1.157,27.20,12,333.00,,333.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,214.00,,0.00,
seed-oss_8192,1144.00,,30.17%,25.00%,0.364,8.74,12,333.00,,333.00,,333.00,,48.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,24.00,,56.00,
Qwen3-8B,1092.00,27.62%,29.82%,25.00%,0.652,45.80,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,37.00,11.42%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,56.00,17.28%
Llama-4-Scout,1091.00,27.66%,29.94%,16.67%,1.667,27.26,12,333.00,100.91%,244.00,73.94%,333.00,100.91%,0.00,0.00%,19.00,5.86%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,143.00,44.41%,19.00,5.86%
Qwen3-4B,1055.00,29.09%,30.28%,27.27%,0.056,0.79,11,333.00,100.91%,333.00,100.91%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,N/A,N/A,0.00,0.00%,0.00,0.00%,0.00,0.00%,56.00,17.28%
Qwen3-30B-Non-Thinking,1029.00,26.20%,26.49%,16.67%,1.005,2.72,12,333.00,100.91%,244.00,73.94%,100.00,30.30%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,19.00,5.86%
seed-oss_4096,907.00,,22.80%,16.67%,0.013,0.58,12,333.00,,222.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,19.00,
OlympicCoder-7B,792.00,20.02%,21.23%,16.67%,0.165,1.20,12,333.00,100.91%,89.00,26.97%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,37.00,11.42%
Qwen3-14B-Non-Thinking,739.00,18.76%,20.40%,8.33%,1.642,44.21,12,333.00,100.91%,244.00,73.94%,0.00,0.00%,0.00,0.00%,19.00,5.86%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,143.00,44.41%,0.00,0.00%
DeepSeek-R1-Distill-Qwen-14B,737.00,,19.47%,16.67%,0.040,0.15,12,333.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,71.00,,0.00,,0.00,
seed-oss_1024,727.00,,19.00%,16.67%,0.219,25.83,12,333.00,,44.00,,333.00,,0.00,,0.00,,0.00,,0.00,,17.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,722.00,,18.71%,16.67%,0.013,1.13,12,333.00,,0.00,,333.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,56.00,
Qwen3-32B-Non-Thinking,685.00,17.52%,18.04%,16.67%,0.671,21.03,12,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,19.00,5.86%
Qwen2.5-Coder-32B-Instruct,536.00,,15.33%,8.33%,1.361,48.03,12,333.00,,22.00,,0.00,,0.00,,19.00,,0.00,,0.00,,0.00,,0.00,,0.00,,143.00,,19.00,
Qwen3-8B-Non-Thinking,536.00,13.64%,15.31%,8.33%,1.462,48.35,12,333.00,100.91%,22.00,6.67%,0.00,0.00%,0.00,0.00%,19.00,5.86%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,143.00,44.41%,19.00,5.86%
