problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,RUNTIME_ERROR,39,78.00%,80.00%,0.050,0,,0,39,0,0,0
dirigent,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
baltazar,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
bomboni,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.00%,0.150,19.33984375,,0,0,0,0,0
kalendar,RUNTIME_ERROR,19,38.00%,47.06%,0.000,0,,0,19,0,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,28.57%,22.00%,2.410,6.078125,,20,0,0,0,0
logaritam,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
slasticarnica,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zastave,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,20,28.57%,20.00%,0.050,0.00390625,,0,20,0,0,0
bojanje,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,19,17.27%,20.00%,1.210,2.0703125,,19,0,0,0,0
tramvaji,RUNTIME_ERROR,38,76.00%,75.00%,0.050,0.00390625,,0,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,TIME_LIMIT_EXCEEDED,0,0.00%,2.38%,3.610,7.78515625,,0,0,0,0,0
prijateljice,RUNTIME_ERROR,0,0.00%,1.33%,0.000,0,,0,0,0,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,TIME_LIMIT_EXCEEDED,15,21.43%,25.00%,1.200,3.921875,,15,0,0,0,0
berilij,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
iksevi,RUNTIME_ERROR,0,0.00%,0.00%,0.860,9.03515625,,0,0,0,0,0
neboderi,TIME_LIMIT_EXCEEDED,11,10.00%,18.52%,2.980,5.1640625,,11,0,0,0,0
TOTAL,,231,,16.45%,,,4.00%,,,,,
