problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.110,4.62109375,,0,4.0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,TIME_LIMIT_EXCEEDED,0,11.71%,2.830,368.05859375,,0.0,0,0,0,0,0,0,0,0,0,0,0
Card_Flip,TIME_LIMIT_EXCEEDED,0,6.93%,1.120,121.7265625,,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,11,4.67%,0.130,4.91015625,,0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Colorful_Diameter,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,RUNTIME_ERROR,0,28.21%,0.100,0,,0.0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,RUNTIME_ERROR,14,78.88%,0.990,270.44921875,,0.0,8.0,0,0,0,0,0,0,6.0,0,0,0
Stone_Enthusiast,RUNTIME_ERROR,0,1.71%,0.280,2.55859375,,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,0,5.04%,2.210,27.3359375,,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,29,8.83%,,,0.00%,,,,,,,,,,,,
